Ta,,,,,,,,,,,
ble,,,,,s (,(-)- Epigallo -)- Epigallo,,(-),(-),,Total
10.,ed,,,,noi,catechin catechin,(+)-Catechin,Gallocatechin,Gallo Syringic acid Si,napinic acid Ellagic acid,polyphenols
Pol,oc,Fo,o,d Name,geR,3-gallate,,gallate,catechin,,
yph,doo,,,,fo,,,,mg,,
en,F,,,,.o,,,,,,
ol,,,,,N,,,,,,
s,,,,,,EPICATEGC,,,,,
,,,,,,,,,,,
,B014,"Lentil whole, bro",w,n (Lens culinaris),6,0.20±0.07,0.34±0.08,,0.13±0.01,13.77±1.70 8.18±0.97,274±21.9
,,,,,,,,,,,
,B015,"Lentil whole, yell",o,wish (Lens culinaris),2,0.11,0.24,,0.16,,266
,,,,,,,,,,,
,B016,Moth bean (Vigna,a,conitifolia),6,,,,,,48.87±2.40
,,,,,,,,,,,
,B017,"Peas, dry (Pisum",sa,tivum),6,,,,,,30.65±1.97
,,,,,,,,,,,
,B018,"Rajmah, black (P",ha,seolus vulgaris),2,,2.13,,,,358
,,,,,,,,,,,
,B019,"Rajmah, brown (P",h,aseolus vulgaris),6,,2.40±0.36,,,,353±4.7
,,,,,,,,,,,
,B020,"Rajmah, red (Pha",se,olus vulgaris),3,,2.79±0.57,,,,360±9.9
,,,,,,,,,,,
,B021,"Red gram, dal (Ca",j,anus cajan),6,,0.09±0.02,,0.02±0.01,,15.94±0.87
,,,,,,,,,,,
,B022,"Red gram, whole",(C,ajanus cajan),6,,0.24±0.03,,0.15±0.02,,204±3.8
34,,,,,,,,,,,
6,B023,Ricebean (Vigna u,m,bellata),1,,0.01,,,,11.58
,,,,,,,,,,,
,B024,"Soya bean, brown",,(Glycine max),6,,,,7.24±0.08,8.05±0.65,106±2.8
,,,,,,,,,,,
,B025,"Soya bean, white",(,Glycine max),1,,,,6.93,7.23,111
,,,,,,,,,,,
,C,GREEN LEA,F,Y VEGETABLES,,,,,,,
,,,,,,,,,,,
,C001,Agathi leaves (Se,s,bania grandiflora),1,,,,,,89.25
,,,,,,,,,,,
,C002,"Amaranth leaves,",g,reen (Amaranthus,6,,,,,,23.81±2.42
,,gangeticus),,,,,,,,,
,,,,,,,,,,,
,C003,"Amaranth leaves,",r,ed (Amaranthus,1,,,,,,27.63
,,gangeticus),,,,,,,,,
,,,,,,,,,,,
,C004,"Amaranth leaves,",r,ed and green,4,,,,,,26.84±1.29
,,(Amaranthus gang,et,icus),,,,,,,
,,,,,,,,,,,
,C005,Amaranth spinos,u,"s, leaves, green",4,,,,,,24.15±1.32
,,(Amaranthus spino,s,us),,,,,,,
,C006,Amaranth spinos,u,"s, leaves, red and",2,,,,,,26.19
,,green (Amaranthu,s,spinosus),,,,,,,
,,,,,,,,,,,
,C007,Basella leaves (B,as,ella alba),2,,,,,,23.98
