Table,,,,,s,,,,,Apigenin-7-,,,,Quercetin-3-,Quercetin-3-
10. Po,edoc,,,,noige,Chlorogenic F acid,erulic acid,Apigenin,Apigenin-6- C-gluoside,O- neohesperid oside,Luteolin,Kaempferol,Quercetin,β-D- glucoside,O- rutinoside
lyph,doo,Fo,od Name,,R fo,,,,,m,g,,,,
en,F,,,,.o,,,,,,,,,,
ols,,,,,N,,,,,,,,,,
,,,,,,CHLRAC,FERAC,APIGEN,,,LUTEOL,KAEMF,QUERCE,,
,,,,,,,,,,,,,,,
,C008,Bathua leaves (Ch,enopodium,album),2,0.31,0.01,,,,,,,,2.88
,,,,,,,,,,,,,,,
,C009,Beet greens (Beta,vulgaris),,6,,,,,,0.24±0.00,,0.41±0.00,,
,,,,,,,,,,,,,,,
,C010,"Betel leaves, big (",kolkata) (P,iper betle),6,6.79±0.24,0.64±0.11,,,,,,,,
,,,,,,,,,,,,,,,
,C011,"Betel leaves, sma",ll (Piper bet,le),4,0.91±0.06,0.16±0.01,,,,,,,,
,,,,,,,,,,,,,,,
,C012,Brussels sprouts,(Brassica o,leracea var.,1,,,,,,1.25,1.02,0.82,,
,,gemmifera),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C013,"Cabbage, Chines",e (Brassica,rupa),1,,,,,,,,,,
,,,,,,,,,,,,,,,
,C014,"Cabbage, collard",greens (Br,assica,1,2.64,,1.57,,,0.98,0.67,1.42,,
,,oleracea var. viridi,s),,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C015,"Cabbage, green (",Brassica ole,racea var.,6,2.52±0.34,,1.48±0.16,,,1.79±0.33,2.66±0.21,0.35±0.09,,
,,capitata f. alba),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,"Cabbage, violet (B",rassica ole,racea var.,,,,,,,,,,,
3,C016,,,,2,2.81,,1.67,,,1.71,2.75,0.39,,
48,,capitata f. rubra),,,,,,,,,,,,,
,C017,Cauliflower leave,s (Brassica,oleracea var.,6,,1.70±0.60,,,,0.26±0.02,0.59±0.03,0.60±0.01,,
,,botrytis),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C018,"Colocasia leaves,",green (Col,ocasia anti-,6,,0.06±0.01,,,,0.03±0.01,0.02±0.01,0.04±0.01,,
,,quorum),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C019,Drumstick leaves,(Moringa ol,eifera),3,0.58±0.02,0.07±0.00,,,,,,,,
,,,,,,,,,,,,,,,
,C020,Fenugreek leaves,(Trigonella,foenum,5,1.57±0.23,0.58±0.12,0.58±0.05,0.15±0.02,,,1.80±0.08,,1.43±0.33,2.46±0.46
,,graecum),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C021,Garden cress (Le,pidium sativ,um),2,0.45,0.02,,,,,0.60,,,
,,,,,,,,,,,,,,,
,C022,"Gogu leaves, gre",en (Hibiscus,cannabinus),4,0.19±0.03,2.72±0.58,,,,,,0.36±0.11,1.60±0.25,0.62±0.10
,,,,,,,,,,,,,,,
,C023,"Gogu leaves, red",(Hibiscus c,annabinus),1,0.18,3.61,,,,,,0.32,1.71,0.53
,,,,,,,,,,,,,,,
,C024,"Knol-Khol, leaves",(Brassica o,leracea var.,2,0.08,,0.39,,,,,,,
,,gongylodes),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C025,Lettuce (Lactuca s,ativa),,3,3.61±0.20,,1.19±0.09,,,2.77±0.31,0.12±0.02,0.07±0.01,0.20±0.02,0.05±0.02
,,,,,,,,,,,,,,,
,C026,Mustard leaves (B,rassica jun,cea),3,0.31±0.09,2.68±0.38,,,,,1.74±0.07,1.44±0.17,,
,,,,,,,,,,,,,,,
,C027,Pak Choi leaves(B,rassica rap,a var.,1,,,,,,,,,,
,,Chinensis),,,,,,,,,,,,,
