,,,,,"3, sn",4 Dihydroxy 3-Hydroxy,Protocatechuic,,Cinamic,O-Coumaric,P-,
,ed,,,,be oi,nzoic acid benzaldehyde,Vanillic acid acid,Gallic acid,acid,acid Co,C umaric acid,affeic aci
,oc,,Food,Name,geR,,,,,,,
,doo,,,,fo,,,mg,,,,
,F,,,,.o,,,,,,,
,,,,,N,,,,,,,
,,,,,,,,GALLAC,,,,
,,,,,,,,,,,,
,C028,Parsley (Petr,oselinum,crispum),3,,1.18±0.09,,,0.41±0.02,0.02±0.01,0.27±0.04
,,,,,,,,,,,,
,C029,Ponnaganni (,Alternan,thera sessilis),2,0.41,1.57,,,,,0.03
,,,,,,,,,,,,
,C030,Pumpkin leav,"es, ten",der (Cucurbita,6,,,,,,0.25±0.03,0.40±0.03
,,maxima),,,,,,,,,,
,,,,,,,,,,,,
,C031,Radish leave,s (Raph,anus sativus),6,,1.40±0.07,0.04±0.01,,,0.26±0.03,0.41±0.01
,,,,,,,,,,,,
,C032,Rumex leave,s (Rume,x patientia ),2,,,,,,0.10,0.77
,,,,,,,,,,,,
,C033,Spinach (Spin,acia ole,racea),6,,2.26±0.51,,,,4.30±0.56,
,,,,,,,,,,,,
,C034,Tamarind lea,"ves, ten",der (Tamarindus,3,,,,,,,0.23±0.02
,,indica),,,,,,,,,,
,,,,,,,,,,,,
,D,OTHER V,EGET,ABLES,,,,,,,,
351,,,,,,,,,,,,
,D001,Ash gourd (B,enincas,a hispida),6,0.03±0.02,,0.34±0.11,0.93±0.73,,,
,,,,,,,,,,,,
,D002,Bamboo sho,"ot, tend",er (Bambusa vulgaris),1,,,,0.36,,,
,,,,,,,,,,,,
,D003,"Bean scarlet,",tender,(Phaseolus,5,0.21±0.02,,,,,0.85±0.00,1.25±0.00
,,coccineus),,,,,,,,,,
,,"Bitter gourd,","jagged,","teeth ridges,",,,,,,,,
,D004,elongate (Mo,mordica,charantia),6,,,0.04±0.01,0.74±0.39,,,0.05±0.03
,,,,,,,,,,,,
,D005,"Bitter gourd,","jagged,","teeth ridges, short",4,,,0.05±0.04,1.21±1.15,,,0.07±0.04
,,(Momordica c,harantia),,,,,,,,,
,,,,,,,,,,,,
,,"Bitter gourd,","jagged,","smooth ridges,",1,,,0.08,1.64,,,0.05
,D006,elongate (Mo,mordica,charantia),,,,,,,,
,,,,,,,,,,,,
,D007,"Bottle gourd,",elonga,"te, pale green",6,,,0.05±0.02,1.96±0.71,,,0.60±0.06
,,(Lagenaria vul,garis),,,,,,,,,
,,,,,,,,,,,,
,D008,"Bottle gourd,","round,",pale green,5,,,0.05±0.01,1.90±0.67,,,0.79±0.41
Ta,,(Lagenaria vul,garis),,,,,,,,,
ble,D009,"Bottle gourd,",elonga,"te, dark green",1,,,0.04,1.84,,,0.59
1,,(Lagenaria vul,garis),,,,,,,,,
0.,,,,,,,,,,,,
Polyp,D010,Brinjal-1 (Sol,anum m,elongena),1,,1.73,0.21,,,1.39,0.83
he,D011,Brinjal-2 (Sol,anum m,elongena),1,,1.82,0.29,,,1.27,0.76
nols,,,,,,,,,,,,
