Table,,,,,s,,,,Apigenin-7-,,,Quercetin-3-,Quercetin-3-
10. P,edoc,,,,noige,Chlorogenic F acid,erulic acid,Apigenin-6- Apigenin C-gluoside,O- neohesperid oside,Luteolin,Kaempferol,Quercetin β-D- glucoside,O- rutinoside
olyph,doo,,Food,Name,R fo,,,,m,g,,,
en,F,,,,.o,,,,,,,,
ol,,,,,N,,,,,,,,
s,,,,,,CHLRAC,FERAC,APIGEN,,LUTEOL,KAEMF,QUERCE,
,,,,,,,,,,,,,
,C028,Parsley (Petr,oselinum,crispum),3,1.52±0.31,0.33±0.02,16.14±1.41,,,0.01±0.01,,
,,,,,,,,,,,,,
,C029,Ponnaganni (,Alternan,thera sessilis),2,4.31,,0.31,,4.98,0.75,0.56,
,,,,,,,,,,,,,
,C030,Pumpkin leav,"es, ten",der (Cucurbita,6,0.19±0.01,0.28±0.05,,,,,0.54±0.06,
,,maxima),,,,,,,,,,,
,,,,,,,,,,,,,
,C031,Radish leave,s (Raph,anus sativus),6,,0.58±0.04,,,3.26±0.59,8.23±0.66,69.50±2.60,4.57±0.45
,,,,,,,,,,,,,
,C032,Rumex leave,s (Rume,x patientia ),2,3.83,0.41,,,,10.73,86.33,
,,,,,,,,,,,,,
,C033,Spinach (Spin,acia ole,racea),6,3.09±0.40,,2.55±0.86,2.70±1.03,0.35±0.06,0.08±0.02,0.49±0.03,
,,,,,,,,,,,,,
,C034,Tamarind lea,"ves, ten",der (Tamarindus,3,,,,,,,,
,,indica),,,,,,,,,,,
,,,,,,,,,,,,,
,D,OTHER V,EGET,ABLES,,,,,,,,,
3,,,,,,,,,,,,,
52,,,,,,,,,,,,,
,D001,Ash gourd (B,enincas,a hispida),6,,,,,,,,
,,,,,,,,,,,,,
,D002,Bamboo sho,"ot, tend",er (Bambusa vulgaris),1,0.25,,,,,,,
,,,,,,,,,,,,,
,D003,"Bean scarlet,",tender,(Phaseolus,5,0.10±0.00,,2.15±0.00,,0.52±0.00,1.52±0.00,3.52±0.00,
,,coccineus),,,,,,,,,,,
,,"Bitter gourd,","jagged,","teeth ridges,",,,,,,,,,
,D004,elongate (Mo,mordica,charantia),6,,,,,,,,
,,,,,,,,,,,,,
,D005,"Bitter gourd,","jagged,","teeth ridges, short",4,,,,,,,,
,,(Momordica c,harantia),,,,,,,,,,
,,,,,,,,,,,,,
,,"Bitter gourd,","jagged,","smooth ridges,",1,,,,,,,,
,D006,elongate (Mo,mordica,charantia),,,,,,,,,
,,,,,,,,,,,,,
,D007,"Bottle gourd,",elonga,"te, pale green",6,2.47±0.49,,,,,,,
,,(Lagenaria vul,garis),,,,,,,,,,
,,,,,,,,,,,,,
,D008,"Bottle gourd,","round,",pale green,5,2.72±0.26,,,,,,,
,,(Lagenaria vul,garis),,,,,,,,,,
,,,,,,,,,,,,,
,D009,"Bottle gourd,",elonga,"te, dark green",1,2.48,,,,,,,
,,(Lagenaria vul,garis),,,,,,,,,,
,,,,,,,,,,,,,
,D010,Brinjal-1 (Sol,anum m,elongena),1,,0.77,,1.47,,,,
,,,,,,,,,,,,,
,D011,Brinjal-2 (Sol,anum m,elongena),1,,0.65,,1.43,,,,
