Ta,,,,,,,,
ble,,,,,(-)- Epigallo s (-)- Epigallo,(-),(-),Total
10.,ed,,,,noi catechin (+)-Catechin catechin,Gallocatechin,Gallo Syringic acid Sinapinic acid Ellagic acid,polyphenols
Pol,oc,,Food,Name,geR 3-gallate,gallate,catechin,
yph,doo,,,,fo,,mg,
en,F,,,,.o,,,
ol,,,,,N,,,
s,,,,,,,,
,,,,,EPICATEGC,,,
,,,,,,,,
,C028,Parsley (Petr,oselinum,crispum),3,,,46.58±1.38
,,,,,,,,
,C029,Ponnaganni (,Alternan,thera sessilis),2,,,53.08
,,,,,,,,
,C030,Pumpkin leav,"es, ten",der (Cucurbita,6,,,20.33±1.63
,,maxima),,,,,,
,,,,,,,,
,C031,Radish leave,s (Raph,anus sativus),6,,2.89±0.35 0.19±0.04,27.57±7.13
,,,,,,,,
,C032,Rumex leave,s (Rume,x patientia ),2,,,16.13
,,,,,,,,
,C033,Spinach (Spin,acia ole,racea),6,,,233±8.9
,,,,,,,,
,C034,Tamarind lea,"ves, ten",der (Tamarindus,3,,,27.65±4.01
,,indica),,,,,,
,,,,,,,,
,D,OTHER V,EGET,ABLES,,,,
354,,,,,,,,
,D001,Ash gourd (B,enincas,a hispida),6,,,10.47±1.25
,,,,,,,,
,D002,Bamboo sho,"ot, tend",er (Bambusa vulgaris),1,,,9.00
,,,,,,,,
,D003,"Bean scarlet,",tender,(Phaseolus,5,,,12.68±0.00
,,coccineus),,,,,,
,,"Bitter gourd,","jagged,","teeth ridges,",,,,
,D004,elongate (Mo,mordica,charantia),6,,,49.76±1.87
,,,,,,,,
,D005,"Bitter gourd,","jagged,","teeth ridges, short",4,,,50.46±2.48
,,(Momordica c,harantia),,,,,
,,,,,,,,
,,"Bitter gourd,","jagged,","smooth ridges,",1,,,52.98
,D006,elongate (Mo,mordica,charantia),,,,
,,,,,,,,
,D007,"Bottle gourd,",elonga,"te, pale green",6,,,34.76±3.15
,,(Lagenaria vul,garis),,,,,
,,,,,,,,
,D008,"Bottle gourd,","round,",pale green,5,,,31.83±5.61
,,(Lagenaria vul,garis),,,,,
,,,,,,,,
,D009,"Bottle gourd,",elonga,"te, dark green",1,,,38.20
,,(Lagenaria vul,garis),,,,,
,,,,,,,,
,D010,Brinjal-1 (Sol,anum m,elongena),1,,,13.14
,,,,,,,,
,D011,Brinjal-2 (Sol,anum m,elongena),1,,,12.16
