,,,,
,,,,EPICATEC
D012,Brinjal-3 (Solanum,melongena),2,
D013,Brinjal-4 (Solanum,melongena),4,
D014,Brinjal-5 (Solanum,melongena),3,
D015,Brinjal-6 (Solanum,melongena),2,
D016,Brinjal-7 (Solanum,melongena),1,
D017,Brinjal-8(Solanum m,elongena),3,
D018,Brinjal-9(Solanum m,elongena),2,
D019,Brinjal-10 (Solanum,melongena),2,
D020,Brinjal-11 (Solanum,melongena),6,
D021,Brinjal-12 (Solanum,melongena),2,
D022,Brinjal-13(Solanum,melongena),1,
D023,Brinjal-14(Solanum,melongena),3,
D024,Brinjal-15 (Solanum,melongena),4,
D025,Brinjal-16(Solanum,melongena),1,
D026,Brinjal-17(Solanum,melongena),1,
D027,Brinjal-18 (Solanum,melongena),3,
D028,Brinjal-19(Solanum,melongena),3,
D029,Brinjal-20(Solanum,melongena),5,
D030,Brinjal-21(Solanum,melongena),2,
D031,Brinjal - all varietie,s (Solanum melongena),6,
D032,Broad beans (Vicia,faba),3,38.05±2.13
