edoc dooF,Fo,od Name,snoigeR fo .oN,Chlorogenic F acid,erulic acid,Apigenin-6- Apigenin C-gluoside,Apigenin-7- O- neohesperid oside,Luteolin,Kaempferol,Quercetin-3- Quercetin β-D- glucoside,Quercetin-3- O- rutinoside
,,,,,,,m,g,,,
,,,,,,,,,,,
,,,,CHLRAC,FERAC,APIGEN,,LUTEOL,KAEMF,QUERCE,
D033,"Capsicum, green",(Capsicum annuum),6,0.39±0.09,2.49±0.22,1.46±0.26,,,1.44±0.27,,
D034,"Capsicum, red (C",apsicum annuum),4,1.58±0.00,3.82±0.00,,,,4.18±0.00,,
D035,"Capsicum, yellow",(Capsicum annuum),4,0.25±0.00,0.25±0.00,,,,0.03±0.00,,
D036,Cauliflower (Bras,sica oleracea),6,,1.49±0.20,,,0.26±0.03,0.55±0.03,0.40±0.13,
D037,Celery stalk (Apiu,m graveolens),3,0.26±0.05,0.25±0.02,0.37±0.01,,0.32±0.07,,0.66±0.04,
D038,Cho-cho-marrow,(Sechium edule),4,0.66±0.07,,,,,,,
D039,Cluster beans (C,yamopsis tetragonobola),6,,,,,,,,
D040,"Colocasia, stem, antiquorum)",black (Colocasia,1,3.12,,1.04,,1.38,,1.02,
D041,"Colocasia, stem, antiquorum)",green (Colocasia,5,1.40±0.53,,0.30±0.04,,0.27±0.04,,1.53±0.25,
D042,"Corn, Baby(Zea m",ays),6,0.76±0.01,0.16±0.02,,,,,,
D043,"Cucumber, green sativus)",", elongate(Cucumis",6,,,0.88±0.39,,,0.10±0.04,0.07±0.03,
D044,"Cucumber, green",", short (Cucumis sativus)",6,,,0.82±0.41,,,0.09±0.03,0.07±0.02,
D045,"Cucumber, orang sativus)","e, round (Cucumis",2,,,1.23,,,0.09,0.07,
D046,Drumstick (Morin,ga oleifera),6,4.01±0.68,,,,0.25±0.03,8.14±0.49,23.30±0.80,
D047,"Field beans, tend","er, broad (Vicia faba)",2,0.62,,,,0.65,,,
D048,"Field beans, tend","er, lean (Vicia faba)",6,0.45±0.20,,,,0.60±0.22,,,2.50±0.09
D049,"French beans, co vulgaris)",untry (Phaseolus,5,0.13±0.02,,2.61±0.28,,0.61±0.08,1.78±0.18,3.17±0.40,
D050,"French beans, hy vulgaris)",brid (Phaseolus,2,0.13,,2.78,,0.51,1.82,2.85,
D051,"Jack fruit, raw (Ar",tocarpus heterophyllus),5,2.39±0.23,0.87±0.06,,,,,,
D052,"Jack fruit, seed, heterophyllus)",mature (Artocarpus,5,0.58±0.06,0.88±0.03,,,,,,
