edoc dooF,Fo,od Name,(-)- Epigallo snoigeR (-)- Epigallo catechin catechin 3-gallate fo .oN EPICATEGC,(+)-Catechin,(-) Gallocatechin gallate,(-) Gallo Syringic acid Sinapinic acid Ellagic acid catechin,Total polyphenols
,,,,,,mg,
,,,,,,,
,,,,,,,
D033,"Capsicum, green",(Capsicum annuum),6,,,,10.82±2.60
D034,"Capsicum, red (C",apsicum annuum),4,,,,20.30±0.00
D035,"Capsicum, yellow",(Capsicum annuum),4,,,,7.80±0.00
D036,Cauliflower (Bras,sica oleracea),6,,,0.07±0.01 0.14±0.02,32.41±0.92
D037,Celery stalk (Apiu,m graveolens),3,,,,2.90±0.21
D038,Cho-cho-marrow,(Sechium edule),4,,,,5.04±0.75
D039,Cluster beans (C,yamopsis tetragonobola),6,,,,53.15±3.94
D040,"Colocasia, stem, antiquorum)",black (Colocasia,1,,,,15.68
D041,"Colocasia, stem, antiquorum)",green (Colocasia,5,,,,11.66±1.69
D042,"Corn, Baby(Zea m",ays),6,,,,1.91±0.08
D043,"Cucumber, green sativus)",", elongate(Cucumis",6,,,,14.10±0.70
D044,"Cucumber, green",", short (Cucumis sativus)",6,,,,13.92±0.86
D045,"Cucumber, orang sativus)","e, round (Cucumis",2,,,,14.56
D046,Drumstick (Morin,ga oleifera),6,,,,139±2.2
D047,"Field beans, tend","er, broad (Vicia faba)",2,,,,133
D048,"Field beans, tend","er, lean (Vicia faba)",6,0.43±0.01,,,136±7.7
D049,"French beans, co vulgaris)",untry (Phaseolus,5,0.05±0.02,,,14.59±0.98
D050,"French beans, hy vulgaris)",brid (Phaseolus,2,0.05,,,14.12
D051,"Jack fruit, raw (Ar",tocarpus heterophyllus),5,,,,50.59±7.30
D052,"Jack fruit, seed, heterophyllus)",mature (Artocarpus,5,,,,15.53±1.08
