Table 10.,ed,,,snoi,Chlorogenic F acid,erulic acid,Apigenin-6- Apigenin C-gluoside,Apigenin-7- O- neohesperid,Luteolin,Kaempferol,Quercetin,Quercetin-3- β-D-,Quercetin-3- O-
Polyph,oc doo,Foo,d Name,geR fo,,,,oside m,g,,,glucoside,rutinoside
e,F,,,.o,,,,,,,,,
nol,,,,N,,,,,,,,,
s,,,,,,,,,,,,,
,,,,,CHLRAC,FERAC,APIGEN,,LUTEOL,KAEMF,QUERCE,,
,,,,,,,,,,,,,
,D053,Knol - Khol (Brassic,a oleracea),6,0.06±0.01,,0.40±0.14,,,,,,
,,,,,,,,,,,,,
,D054,"Kovai, big (Coccinia",cordifolia),6,0.35±0.05,0.05±0.02,0.14±0.01,,,0.07±0.02,,0.13±0.02,
,,,,,,,,,,,,,
,D055,"Kovai, small (Coccin",ia cordifolia),1,0.43,0.08,0.17,,,0.08,,0.16,
,,,,,,,,,,,,,
,D056,Ladies finger (Abelm,oschus esculentus),6,2.80±0.61,,,,,,,1.69±0.28,2.22±0.51
,,,,,,,,,,,,,
,D057,"Mango, green, raw (",Mangifera indica),6,0.31±0.13,,,,,0.64±0.07,,2.16±0.55,
,,,,,,,,,,,,,
,D058,"Onion, stalk (Allium",cepa),6,0.63±0.01,1.15±0.18,,,,1.53±0.26,1.42±0.23,1.55±0.10,
,,,,,,,,,,,,,
,D059,"Papaya, raw (Carica",papaya),6,0.55±0.03,0.23±0.05,0.05±0.01,,0.15±0.02,0.25±0.04,,,
,,,,,,,,,,,,,
,D060,Parwar (Trichosanth,es dioica),6,0.08±0.01,,,,0.35±0.10,0.79±0.09,0.63±0.03,1.30±0.24,1.37±0.10
,,,,,,,,,,,,,
,D061,"Peas, fresh (Pisum s",ativum),6,,0.41±0.09,2.03±0.65,1.82±0.13,1.95±0.86,1.74±0.20,,,
,,,,,,,,,,,,,
3,,,,,,,,,,,,,
64,D062,"Plantain, flower (Mu",sa x paradisiaca),6,0.28±0.03,0.77±0.07,,,,,,,
,,,,,,,,,,,,,
,D063,"Plantain, green (Mu",sa x paradisiaca),6,,,,0.60±0.08,1.65±0.16,0.11±0.01,0.07±0.01,,
,,,,,,,,,,,,,
,D064,"Plantain, stem (Mus",a x paradisiaca),6,0.29±0.08,,,,,,,,
,,,,,,,,,,,,,
,D065,"Pumpkin, green, cyl",indrical (Cucurbita,1,0.24,,,,1.43,,,,
,,maxima),,,,,,,,,,,
,,,,,,,,,,,,,
,D066,"Pumpkin, orange, r",ound (Cucurbita,6,0.28±0.08,,,,1.63±0.21,,,,
,,maxima),,,,,,,,,,,
,,,,,,,,,,,,,
,D067,"Red gram, tender, fr",esh (Cajanus cajan),1,,1.41,0.72,,1.62,,,,4.25
,,,,,,,,,,,,,
,D068,Ridge gourd (Luffa a,cutangula),6,0.36±0.11,,,,,,0.92±0.17,,
,,,,,,,,,,,,,
,D069,"Ridge gourd, smoot",h skin (Luffa,3,0.61±0.02,,,,,,0.92±0.04,,
,,acutangula),,,,,,,,,,,
,,,,,,,,,,,,,
,D070,"Snake gourd, long,",pale green,6,0.28±0.11,,,,,,,,
,,(Trichosanthes angui,na),,,,,,,,,,
,,,,,,,,,,,,,
,D071,"Snake gourd, long,",dark green,2,0.32,,,,,,,,
,,(Trichosanthes angui,na),,,,,,,,,,
,,,,,,,,,,,,,
,D072,"Snake gourd, short",(Trichosanthes,1,0.24,,,,,,,,
,,anguina),,,,,,,,,,,
,,,,,,,,,,,,,
,D073,"Tinda, tender (Praec",itrullus fistulosus),6,0.55±0.07,,0.64±0.18,,,,,,
