Ta,,,,,,,,,
ble,,,,s (-,(-)- Epigallo )- Epigallo,,(-),(-),Total
10.,ed,,,noi,catechin catechin,(+)-Catechin,Gallocatechin,Gallo Syringic acid Sinapinic acid Ellagic acid,polyphenols
Pol,oc,Foo,d Name,geR,3-gallate,,gallate,catechin,
yph,doo,,,fo,,,,mg,
en,F,,,.o,,,,,
ol,,,,N,,,,,
s,,,,E,PICATEGC,,,,
,,,,,,,,,
,D053,Knol - Khol (Brassic,a oleracea),6,,,,,5.09±1.67
,,,,,,,,,
,D054,"Kovai, big (Coccinia",cordifolia),6,,,,,1.76±0.64
,,,,,,,,,
,D055,"Kovai, small (Coccin",ia cordifolia),1,,,,,1.60
,,,,,,,,,
,D056,Ladies finger (Abelm,oschus esculentus),6,,,,,32.51±2.82
,,,,,,,,,
,D057,"Mango, green, raw (",Mangifera indica),6,,1.74±0.46,,,580±10.0
,,,,,,,,,
,D058,"Onion, stalk (Allium",cepa),6,,,,,10.73±3.22
,,,,,,,,,
,D059,"Papaya, raw (Carica",papaya),6,,,,,5.54±0.33
,,,,,,,,,
,D060,Parwar (Trichosanth,es dioica),6,,,,,12.14±2.10
,,,,,,,,,
,D061,"Peas, fresh (Pisum s",ativum),6,2.79±0.62,,,,22.17±2.86
36,,,,,,,,,
6,D062,"Plantain, flower (Mu",sa x paradisiaca),6,,,,,4.43±1.07
,,,,,,,,,
,D063,"Plantain, green (Mu",sa x paradisiaca),6,1.89±0.20,1.50±0.16,,,25.27±3.40
,,,,,,,,,
,D064,"Plantain, stem (Mus",a x paradisiaca),6,,,,,12.24±1.15
,,,,,,,,,
,D065,"Pumpkin, green, cyl",indrical (Cucurbita,1,,,,0.23,15.21
,,maxima),,,,,,,
,,,,,,,,,
,D066,"Pumpkin, orange, r",ound (Cucurbita,6,,,,0.45±0.13,15.25±2.07
,,maxima),,,,,,,
,,,,,,,,,
,D067,"Red gram, tender, fr",esh (Cajanus cajan),1,,0.13,,0.06,6.55
,,,,,,,,,
,D068,Ridge gourd (Luffa a,cutangula),6,,,,,8.31±0.73
,,,,,,,,,
,D069,"Ridge gourd, smoot",h skin (Luffa,3,,,,,11.30±0.93
,,acutangula),,,,,,,
,,,,,,,,,
,D070,"Snake gourd, long,",pale green,6,,,,,6.78±1.12
,,(Trichosanthes angui,na),,,,,,
,,,,,,,,,
,D071,"Snake gourd, long,",dark green,2,,,,,6.10
,,(Trichosanthes angui,na),,,,,,
,,,,,,,,,
,D072,"Snake gourd, short",(Trichosanthes,1,,,,,5.90
,,anguina),,,,,,,
,,,,,,,,,
,D073,"Tinda, tender (Praec",itrullus fistulosus),6,,,,,2.61±0.13
