Table,,,,,s,,,Apigenin-7-,,,,Quercetin-3-,Quercetin-3-
10. Po,edoc,,,,noige,Chlorogenic F acid,Apigenin-6- erulic acid Apigenin C-gluoside,O- neohesperid oside,Luteolin,Kaempferol,Quercetin,β-D- glucoside,O- rutinoside
lyph,doo,,Food Name,,R fo,,,m,g,,,,
en,F,,,,.o,,,,,,,,
ols,,,,,N,,,,,,,,
,,,,,,CHLRAC,FERAC APIGEN,,LUTEOL,KAEMF,QUERCE,,
,,,,,,,,,,,,,
,D074,"Tomato, gree",n (Lycopersico,n esculentum),6,1.22±0.21,0.08±0.01,,,0.03±0.01,1.90±0.04,,
,,,,,,,,,,,,,
,D075,"Tomato, ripe,",hybrid (Lyco,persicon,6,1.30±0.05,0.68±0.03,,,1.17±0.49,4.42±0.66,8.10±0.64,0.15±0.01
,,esculentum),,,,,,,,,,,
,,,,,,,,,,,,,
,D076,"Tomato, ripe,",local (Lycope,rsicon,6,1.89±0.11,0.91±0.03,,,2.33±0.22,3.49±0.36,10.68±0.62,0.16±0.02
,,esculentum),,,,,,,,,,,
,,,,,,,,,,,,,
,D077,"Zucchini, gre",en (Cucurbita,pepo),2,,,,,,,,1.35
,,,,,,,,,,,,,
,D078,"Zucchini, yell",ow(Cucurbita,pepo),2,,,,,,,,1.33
,,,,,,,,,,,,,
,E,FRUITS,,,,,,,,,,,
,,,,,,,,,,,,,
,E001,"Apple, big (M",alus domestic,a),6,1.63±0.13,0.79±0.09,,,2.96±0.49,0.87±0.07,2.87±0.41,1.54±0.06
,,,,,,,,,,,,,
3,E002,"Apple, green",(Malus domes,tica),6,1.44±0.14,0.71±0.12,,,2.45±0.37,0.55±0.13,2.42±0.45,0.55±0.03
68,,,,,,,,,,,,,
,E003,"Apple, small",(Malus domes,tica),6,1.53±0.27,0.77±0.40,,,2.67±0.26,0.92±0.21,2.66±0.34,1.10±0.60
,,,,,,,,,,,,,
,E004,"Apple, small,",Kashmir (Ma,lus domestica),1,2.15,0.31,,,2.63,1.63,3.13,0.63
,,,,,,,,,,,,,
,E005,"Apricot, dried",(Prunus arme,niaca),6,,0.28±0.04,,,0.96±0.09,0.83±0.10,,2.04±0.70
,,,,,,,,,,,,,
,E006,"Apricot, proc",essed (Prunu,s armeniaca),3,,0.24±0.02,,,2.56±0.38,2.80±0.29,,0.85±0.04
,,,,,,,,,,,,,
,E007,Avocado fruit,(Persea ame,ricana),1,,0.16,,0.33,,0.23,,
,,,,,,,,,,,,,
,E008,Bael fruit (Ae,gle marmelos),,1,,0.19,,0.41,,0.29,,
,,,,,,,,,,,,,
,E009,"Banana, ripe,",montham (M,usa x,1,,,,,,,,
,,paradisiaca),,,,,,,,,,,
,,,,,,,,,,,,,
,E010,"Banana, ripe,",poovam (Mu,sa x,2,,,,,,,,
,,paradisiaca),,,,,,,,,,,
,,,,,,,,,,,,,
,E011,"Banana, ripe,",red (Musa x p,aradisiaca),1,,,,,,,,
,,,,,,,,,,,,,
,E012,"Banana, ripe,",robusta (Mus,a x,6,,,,,,,,
,,paradisiaca),,,,,,,,,,,
,,,,,,,,,,,,,
,E013,Black berry (,Rubus fruticos,us),5,,,,,,,3.18±0.50,3.58±0.32
,,,,,,,,,,,,,
,E014,"Cherries, red",(Prunus ceras,us),4,5.93±0.02,0.32±0.05,,,1.39±0.43,0.88±0.02,,
