Ta,,,,,,,,,,,,
ble,,,,,s (,(-) -)- Epigallo,- Epigallo,,(-),(-),,Total
10.,ed,,,,noi,catechin,catechin,(+)-Catechin,Gallocatechin,Gallo Syringic acid Sinapinic acid E,llagic acid,polyphenols
Pol,oc,,Food Name,,geR,,3-gallate,,gallate,catechin,,
yph,doo,,,,fo,,,,,mg,,
en,F,,,,.o,,,,,,,
ols,,,,,N,,,,,,,
,,,,,,EPICATEGC,,,,,,
,,,,,,,,,,,,
,D074,"Tomato, gree",n (Lycopersico,n esculentum),6,,,,,,,7.62±0.69
,,,,,,,,,,,,
,D075,"Tomato, ripe,",hybrid (Lyco,persicon,6,,,,,,,26.35±2.20
,,esculentum),,,,,,,,,,
,,,,,,,,,,,,
,D076,"Tomato, ripe,",local (Lycope,rsicon,6,,,,,,,36.69±2.09
,,esculentum),,,,,,,,,,
,,,,,,,,,,,,
,D077,"Zucchini, gre",en (Cucurbita,pepo),2,,,,,,34.77,42.94
,,,,,,,,,,,,
,D078,"Zucchini, yell",ow(Cucurbita,pepo),2,,,,,,2.62,295
,,,,,,,,,,,,
,E,FRUITS,,,,,,,,,,
,,,,,,,,,,,,
,E001,"Apple, big (M",alus domestic,a),6,,,1.21±0.17,,,,35.81±4.13
,,,,,,,,,,,,
3,E002,"Apple, green",(Malus domes,tica),6,,,0.81±0.06,,,,45.76±4.22
70,,,,,,,,,,,,
,E003,"Apple, small",(Malus domes,tica),6,,,0.96±0.14,,,,34.87±2.45
,,,,,,,,,,,,
,E004,"Apple, small,",Kashmir (Ma,lus domestica),1,,,1.00,,,,38.25
,,,,,,,,,,,,
,E005,"Apricot, dried",(Prunus arme,niaca),6,,,3.72±0.64,,,,57.33±3.72
,,,,,,,,,,,,
,E006,"Apricot, proc",essed (Prunu,s armeniaca),3,,,2.53±0.51,,,,51.31±1.88
,,,,,,,,,,,,
,E007,Avocado fruit,(Persea ame,ricana),1,,,11.35,,,,105
,,,,,,,,,,,,
,E008,Bael fruit (Ae,gle marmelos),,1,,,10.26,,,,21.36
,,,,,,,,,,,,
,E009,"Banana, ripe,",montham (M,usa x,1,0.72,0.61,0.41,,,,10.70
,,paradisiaca),,,,,,,,,,
,,,,,,,,,,,,
,E010,"Banana, ripe,",poovam (Mu,sa x,2,0.56,0.61,0.52,,,,18.60
,,paradisiaca),,,,,,,,,,
,,,,,,,,,,,,
,E011,"Banana, ripe,",red (Musa x p,aradisiaca),1,0.63,0.56,0.64,,,,11.10
,,,,,,,,,,,,
,E012,"Banana, ripe,",robusta (Mus,a x,6,0.62±0.17,0.53±0.15,0.53±0.08,,,,14.41±1.64
,,paradisiaca),,,,,,,,,,
,,,,,,,,,,,,
,E013,Black berry (,Rubus fruticos,us),5,0.56±0.05,,1.44±0.35,,,3.11±0.43,165±6.8
,,,,,,,,,,,,
,E014,"Cherries, red",(Prunus ceras,us),4,0.07±0.01,,2.61±0.20,,,,126±2.1
