Table,,,,,,s,,,,,Apigenin-7-,,,,Quercetin-3-,Quercetin-3-
10. Po,edoc,,,,,noige,Chlorogenic F acid,erulic acid,Apigenin,Apigenin-6- C-gluoside,O- neohesperid oside,Luteolin,Kaempferol,Quercetin,β- D- glucoside,O- rutinoside
lyphe,doo,,,Food N,ame,R fo,,,,,m,g,,,,
n,F,,,,,.o,,,,,,,,,,
ols,,,,,,N,,,,,,,,,,
,,,,,,,CHLRAC,FERAC,APIGEN,,,LUTEOL,KAEMF,QUERCE,,
,,,,,,,,,,,,,,,,
,E015,"Currants, b",la,ck (Ribes,nigrum),1,,,,,,,0.02,3.12,,4.65
,,,,,,,,,,,,,,,,
,E016,Custard ap,ple,(Annona,squamosa),1,,,,,,,,,,
,,,,,,,,,,,,,,,,
,E017,"Dates, dry,",pa,le brown,(Phoenix,6,0.64±0.21,1.18±0.87,,,,,,0.02±0.01,,
,,dactylifera),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,E018,"Dates, dry,",da,rk brown,(Phoenix,2,0.29,0.13,,,,,,0.03,,
,,dactylifera),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,E019,"Dates, proc",es,sed (Pho,enix dactylifera),2,,1.57,,,,,,,,
,,,,,,,,,,,,,,,,
,E020,Fig (Ficus c,ari,ca),,6,0.04±0.00,0.01±0.00,,,,,,0.01±0.00,,
,,,,,,,,,,,,,,,,
,E021,Goosberry,(E,mblica off,icinalis),5,0.56±0.04,0.30±0.09,,0.23±0.04,,,0.84±0.04,1.26±0.05,1.37±0.03,7.81±0.82
,,,,,,,,,,,,,,,,
,E022,"Grapes, se",ed,"ed, round",", black (Vitis",4,0.63±0.08,0.95±0.08,,,,,0.15±0.03,0.70±0.06,,0.11±0.01
,,vinifera),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,,"Grapes, se",ed,"ed, round",", green (Vitis",,,,,,,,,,,
72,E023,vinifera),,,,5,0.56±0.28,2.46±1.07,,,,,0.13±0.07,0.70±0.03,,0.10±0.01
,,,,,,,,,,,,,,,,
,E024,"Grapes, se",ed,"ed, round",", red (Vitis vinifera)",5,0.52±0.00,2.78±0.00,,,,,0.34±0.00,0.71±0.00,,0.09±0.00
,,,,,,,,,,,,,,,,
,E025,"Grapes, se",ed,"less, ova","l, black (Vitis",5,0.62±0.00,2.85±0.00,,,,,0.16±0.00,0.72±0.00,,0.12±0.00
,,vinifera),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,E026,"Grapes, se",ed,"less, rou","nd, green (Vitis",5,0.65±0.03,1.63±0.06,,,,,0.09±0.10,0.68±0.01,,0.08±0.01
,,vinifera),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,E027,"Grapes, se",ed,"less, rou","nd, black (Vitis",5,0.75±0.00,2.14±0.00,,,,,0.15±0.00,0.68±0.00,,0.10±0.00
,,vinifera),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,E028,"Guava, whi",te,flesh (Ps,idium guajava),5,,,3.61±0.30,,,,,1.44±0.10,,
,,,,,,,,,,,,,,,,
,E029,"Guava, pin",k f,lesh (Psi,dium guajava),5,,,4.67±0.31,,,,,1.99±0.50,,
,,,,,,,,,,,,,,,,
,E030,"Jack fruit, r",ip,e (Artocar,pus heterophyllus),5,2.48±0.42,1.23±0.45,,,,,,,,
,,,,,,,,,,,,,,,,
,E031,Jambu fruit,", r",ipe (Syzy,gium cumini),2,0.13,,,,,,,,,
,,,,,,,,,,,,,,,,
,E032,Karonda fr,uit,(Carissa,carandas),1,,,,,,1.21,,1.16,,
,,,,,,,,,,,,,,,,
,E033,"Lemon, juic",e,(Citrus lim,on),6,,,,,,1.59±0.11,,0.07±0.01,,
,,,,,,,,,,,,,,,,
,E034,"Lime, swee","t,",pulp (Citr,us limetta),6,1.48±0.51,0.02±0.01,,,,,,0.08±0.01,,
