Ta,,,,,,,,,,,,,
ble,,,,,,s (,(-) -)- Epigallo,- Epigallo,,(-),(-),,Total
10.,ed,,,,,noi,catechin,catechin,(+)-Catechin,Gallocatechin,Gallo S,yringic acid Sinapinic acid Ellagic acid,polyphenols
Pol,oc,,,Food N,ame,geR,,3-gallate,,gallate,catechin,,
yph,doo,,,,,fo,,,,,mg,,
en,F,,,,,.o,,,,,,,
ols,,,,,,N,,,,,,,
,,,,,,,EPICATEGC,,,,,,
,,,,,,,,,,,,,
,E015,"Currants, b",la,ck (Ribes,nigrum),1,0.48,,0.70,,,,68.29
,,,,,,,,,,,,,
,E016,Custard ap,ple,(Annona,squamosa),1,,,0.58,,,,13.91
,,,,,,,,,,,,,
,E017,"Dates, dry,",pa,le brown,(Phoenix,6,,,,,,5.19±0.56,102±7.1
,,dactylifera),,,,,,,,,,,
,,,,,,,,,,,,,
,E018,"Dates, dry,",da,rk brown,(Phoenix,2,,,,,,6.06,263
,,dactylifera),,,,,,,,,,,
,,,,,,,,,,,,,
,E019,"Dates, proc",es,sed (Pho,enix dactylifera),2,,,,,,2.24,16.91
,,,,,,,,,,,,,
,E020,Fig (Ficus c,ari,ca),,6,,,0.01±0.00,,,,25.16±0.00
,,,,,,,,,,,,,
,E021,Goosberry,(E,mblica off,icinalis),5,,,,,,,1031±3.8
,,,,,,,,,,,,,
,E022,"Grapes, se",ed,"ed, round",", black (Vitis",4,0.03±0.01,3.01±0.16,11.04±1.47,,0.05±0.01,,144±10.0
,,vinifera),,,,,,,,,,,
,,,,,,,,,,,,,
3,,"Grapes, se",ed,"ed, round",", green (Vitis",,,,,,,,
74,E023,vinifera),,,,5,0.03±0.01,2.10±1.21,2.93±1.88,,0.03±0.01,,29.60±13.81
,,,,,,,,,,,,,
,E024,"Grapes, se",ed,"ed, round",", red (Vitis vinifera)",5,0.06±0.00,0.98±0.00,7.93±0.00,,0.06±0.00,,14.61±0.00
,,,,,,,,,,,,,
,E025,"Grapes, se",ed,"less, ova","l, black (Vitis",5,0.05±0.00,2.94±0.00,11.01±0.00,,0.08±0.00,,125±0.0
,,vinifera),,,,,,,,,,,
,,,,,,,,,,,,,
,E026,"Grapes, se",ed,"less, rou","nd, green (Vitis",5,0.03±0.00,2.70±0.02,3.38±2.62,,0.09±0.01,,33.91±2.41
,,vinifera),,,,,,,,,,,
,,,,,,,,,,,,,
,E027,"Grapes, se",ed,"less, rou","nd, black (Vitis",5,0.02±0.00,2.80±0.00,11.87±0.00,,0.07±0.00,,122±0.0
,,vinifera),,,,,,,,,,,
,,,,,,,,,,,,,
,E028,"Guava, whi",te,flesh (Ps,idium guajava),5,,,,,,0.53±0.08,96.93±3.85
,,,,,,,,,,,,,
,E029,"Guava, pin",k f,lesh (Psi,dium guajava),5,,,,,,1.51±0.10,321±4.8
,,,,,,,,,,,,,
,E030,"Jack fruit, r",ip,e (Artocar,pus heterophyllus),5,,,,,,,53.74±1.44
,,,,,,,,,,,,,
,E031,Jambu fruit,", r",ipe (Syzy,gium cumini),2,,,,,,,68.47
,,,,,,,,,,,,,
,E032,Karonda fr,uit,(Carissa,carandas),1,0.03,0.11,0.19,,,,10.65
,,,,,,,,,,,,,
,E033,"Lemon, juic",e,(Citrus lim,on),6,,,,,,,24.24±3.09
,,,,,,,,,,,,,
,E034,"Lime, swee","t,",pulp (Citr,us limetta),6,,,,,,,117±12.0
