Ta,,,,,,,,,
ble,,,,s (,(-)- Epigallo -)- Epigallo,,(-),(-),Total
10.,ed,,,noi,catechin catechin,(+)-Catechin,Gallocatechin,Gallo Syringic acid Sinapinic acid Ellagic acid,polyphenols
Pol,oc,Foo,d Name,geR,3-gallate,,gallate,catechin,
yph,doo,,,fo,,,,mg,
en,F,,,.o,,,,,
ols,,,,N,,,,,
,,,,,EPICATEGC,,,,
,,,,,,,,,
,E056,Pummelo (Citrus m,axima),3,,,,,25.35±0.00
,,,,,,,,,
,E057,"Raisins, dried, bla",ck (Vitis vinifera),6,,1.44±0.33,,,286±2.8
,,,,,,,,,
,E058,"Raisins, dried, gol",den (Vitis vinifera),6,,4.10±0.55,,,170±5.1
,,,,,,,,,
,E059,Rambutan (Nepheli,um lappaceum),1,,1.21,,,11.21
,,,,,,,,,
,E060,Sapota (Achras sap,ota),6,,1.40±0.10,,,17.27±0.97
,,,,,,,,,
,E061,Soursop (Annona m,uricata),1,1.01 0.16,0.21,,,16.54
,,,,,,,,,
,E062,Star fruit (Averrhoa,carambola),1,1.21,0.99,,,21.69
,,,,,,,,,
,E063,Strawberry (Fragar,ia ananassa),6,0.05±0.02,6.42±0.15,,0.03±0.01,135±17.1
,,,,,,,,,
,E064,"Tamarind, pulp (Ta",marindus indicus),6,,4.00±0.68,,,183±3.2
38,,,,,,,,,
2,,"Water melon, dark",green (sugar baby),,,,,,
,E065,(Citrullus vulgaris),,6,,,,,5.89±0.40
,,,,,,,,,
,E066,"Water melon, pale",green (Citrullus,6,,,,,5.78±0.33
,,vulgaris),,,,,,,
,,,,,,,,,
,E067,Wood Apple (Limon,ia acidissima),3,,,,,411±5.4
,,,,,,,,,
,E068,Zizyphus(Zizyphus,jujube),1,,2.89,,,131
,,,,,,,,,
,F,ROOTS AND,TUBERS,,,,,,
,,,,,,,,,
,F001,Beet root (Beta vul,garis),6,,,,,57.56±1.74
,,,,,,,,,
,F002,"Carrot, orange (Da",cus carota),6,,,,,49.44±2.56
,,,,,,,,,
,F003,"Carrot, red (Dacus",carota),4,,,,,50.69±0.37
,,,,,,,,,
,F004,Colocasia (Colocas,ia antiquorum),6,,,,,59.20±1.25
,,,,,,,,,
,F005,Lotus root (Nelumb,ium nelumbo),3,,,,,
,,,,,,,,,
,F006,"Potato, brown skin",", big (Solanum",6,,,,,24.61±1.89
,,tuberosum),,,,,,,
