Table,,,,s,,,,Apigenin-7-,,,,Quercetin-3-
10. Po,edoc,,,noige,Chlorogenic F acid,erulic acid,Apigenin-6- Apigenin C-gluoside,O- neohesperid oside,Luteolin,Kaempferol,Quercetin,β-D- glucoside
lyphe,doo,Food Nam,e,R fo,,,,m,g,,,
n,F,,,.o,,,,,,,,
ols,,,,N,,,,,,,,
,,,,,CHLRAC,FERAC,APIGEN,,LUTEOL,KAEMF,QUERCE,
,,,,,,,,,,,,
,F007,"Potato, brown skin, small",(Solanum,1,3.74,,2.97,,,0.12,0.22,6.47
,,tuberosum),,,,,,,,,,
,,,,,,,,,,,,
,F008,"Potato, red skin (Solanum",tuberosum),1,2.63,,2.18,,,0.15,0.12,6.01
,,,,,,,,,,,,
,F009,"Radish, elongate, red skin",(Raphanus,3,1.79±0.05,,,,,0.56±0.03,,
,,sativus),,,,,,,,,,
,,,,,,,,,,,,
,F010,"Radish, elongate, white sk",in (Raphanus,6,1.74±0.43,,,,,0.59±0.07,,
,,sativus),,,,,,,,,,
,,,,,,,,,,,,
,F011,"Radish, round, red skin (R",aphanus,1,1.68,,,,,0.61,,
,,sativus),,,,,,,,,,
,,,,,,,,,,,,
,F012,"Radish, round, white skin",(Raphanus,2,1.46,,,,,0.52,,
,,sativus),,,,,,,,,,
,,,,,,,,,,,,
,F013,"Sweet potato, brown skin",(Ipomoes,4,1.75±0.29,0.11±0.02,1.36±0.13,,0.02±0.01,0.03±0.01,0.01±0.01,
,,batatas),,,,,,,,,,
,,,,,,,,,,,,
,F014,"Sweet potato, pink skin (Ip",omoes batatas),3,2.51±0.53,0.14±0.02,1.79±0.57,,0.05±0.01,0.04±0.02,0.04±0.01,
38,,,,,,,,,,,,
4,,,,,,,,,,,,
,F015,Tapioca (Manihot esculenta,),3,0.32±0.17,,,,,,,
,,,,,,,,,,,,
,F016,Water Chestnut (Eleochari,s dulcis),1,,,,,,,,
,,,,,,,,,,,,
,F017,"Yam, elephant (Amorphoph",allus,6,,,,,,0.26±0.06,,
,,campanulatus),,,,,,,,,,
,,,,,,,,,,,,
,F018,"Yam, ordinary (Amorphoph",allus,4,,,,,,0.48±0.02,,
,,campanulatus),,,,,,,,,,
,,,,,,,,,,,,
,F019,"Yam, wild (Dioscorea versic",olor),2,,,,,,0.53,,
,,,,,,,,,,,,
,G,CONDIMENTS AND,SPICES-FRES,H,,,,,,,,
,,,,,,,,,,,,
,G001,"Chillies, green-1 (Capsicu",m annum),5,,,5.81±1.52,11.01±1.58,,,,
,,,,,,,,,,,,
,G002,"Chillies, green-2 (Capsicu",m annum),3,,,2.69±0.19,15.91±1.48,,,,
,,,,,,,,,,,,
,G003,"Chillies, green-3 (Capsicu",m annum),5,,,3.12±0.58,11.65±2.24,,,,
,,,,,,,,,,,,
,G004,"Chillies, green-4 (Capsicu",m annum),3,,,4.50±3.42,5.11±1.62,,,,
,,,,,,,,,,,,
,G005,"Chillies, green-5 (Capsicu",m annum),2,,,5.85±2.16,9.77±1.92,,,,
