Table,,,,s,,,,Apigenin-7-,,,,Quercetin-3-,Quercetin-3-
10. Po,edoc,,,noige,Chlorogenic F acid,erulic acid,Apigenin-6- Apigenin C-gluoside,O- neohesperid oside,Luteolin,Kaempferol,Quercetin,β-D- glucoside,O- rutinoside
lyph,doo,Food Name,,R fo,,,,m,g,,,,
en,F,,,.o,,,,,,,,,
ols,,,,N,,,,,,,,,
,,,,,CHLRAC,FERAC,APIGEN,,LUTEOL,KAEMF,QUERCE,,
,,,,,,,,,,,,,
,G006,"Chillies, green-6 (Capsicum",annum),1,,,5.82,4.34,,,,,
,,,,,,,,,,,,,
,G007,"Chillies, green-7 (Capsicum",annum),1,,,2.34,16.34,,,,,
,,,,,,,,,,,,,
,G008,"Chillies, green - all varietie",s (Capsicum,6,,,4.37±1.98,10.27±4.19,,,,,
,,annum),,,,,,,,,,,
,,,,,,,,,,,,,
,G009,Coriander leaves (Coriandru,m sativum),6,0.53±0.26,0.95±0.39,,,,,7.74±0.81,2.55±0.36,
,,,,,,,,,,,,,
,G010,Curry leaves (Murraya koeni,gii),6,0.18±0.03,,,,,0.24±0.02,,,
,,,,,,,,,,,,,
,G011,"Garlic, big clove (Allium sati",vum),6,,0.03±0.02,,,,0.52±0.19,2.05±0.58,,
,,,,,,,,,,,,,
,G012,"Garlic, small clove (Allium s",ativum),3,,0.04±0.02,,,,0.61±0.25,1.81±0.57,,
,,,,,,,,,,,,,
,G013,"Garlic, single clove, Kashm",ir (Allium,1,,0.05,,,,0.71,1.04,,
,,sativum),,,,,,,,,,,
,,,,,,,,,,,,,
,G014,"Ginger, fresh (Zinziber offici",nale),6,,,,0.27±0.05,4.81±0.11,32.23±1.84,,,
3,,,,,,,,,,,,,
88,,,,,,,,,,,,,
,G015,Mango ginger (Curcuma am,ada),3,0.45±0.06,0.05±0.01,,,,,,,
,,,,,,,,,,,,,
,G016,Mint leaves (Mentha spicata,),4,0.09±0.01,4.64±0.46,0.43±0.07,,1.49±0.07,,,,
,,,,,,,,,,,,,
,G017,"Onion, big (Allium cepa)",,6,0.19±0.05,0.08±0.02,0.05±0.02,,0.04±0.02,0.68±0.24,1.62±0.16,2.79±0.21,0.36±0.06
,,,,,,,,,,,,,
,G018,"Onion, small (Allium cepa)",,5,0.18±0.02,0.04±0.01,0.04±0.01,,0.01±0.01,0.62±0.23,5.78±0.46,1.61±0.11,0.18±0.08
,,,,,,,,,,,,,
,G,CONDIMENTS AND,SPICES-DRY,,,,,,,,,,
,,,,,,,,,,,,,
,G019,Asafoetida (Ferula assa-foet,ida),6,,36.33±2.34,,,,,,,0.14±0.02
,,,,,,,,,,,,,
,G020,"Cardamom, green (Elettaria",cardamomum),6,3.96±0.62,1.78±0.57,,,,,,,
,,,,,,,,,,,,,
,G021,"Cardamom, black (Elettaria",cardamomum),4,4.86±0.15,2.35±0.27,,,,,,,
,,,,,,,,,,,,,
,G022,"Chillies, red (Capsicum ann",um),6,,,14.08±1.73,30.49±1.92,,,,,
,,,,,,,,,,,,,
,G023,Cloves (Syzygium aromaticu,m),6,,,,,,15.82±0.97,13.35±0.74,,
,,,,,,,,,,,,,
,G024,Coriander seeds (Coriandru,m sativum),6,2.91±0.20,0.13±0.02,,,,,0.47±0.16,,6.39±1.11
,,,,,,,,,,,,,
,G025,Cumin seeds (Cuminum cym,inum),6,5.88±0.55,,0.41±0.07,,,35.68±3.05,0.15±0.02,3.78±0.34,13.74±2.21
