,,,,,mg,,,
,,,,,,,,
,,,,,HESPT HESPD,DAIDZN,GNSTEIN,EPICATEC
G006,"Chillies, green-6 (Capsicum",annum),1,,,,,
G007,"Chillies, green-7 (Capsicum",annum),1,,,,,
G008,"Chillies, green - all varietie annum)",s (Capsicum,6,,,,,
G009,Coriander leaves (Coriandru,m sativum),6,,,,,
G010,Curry leaves (Murraya koeni,gii),6,,1.55±0.27,,,
G011,"Garlic, big clove (Allium sati",vum),6,,1.83±0.51,0.04±0.01,0.04±0.01,
G012,"Garlic, small clove (Allium s",ativum),3,,1.61±0.12,0.01±0.01,0.02±0.02,
G013,"Garlic, single clove, Kashm sativum)",ir (Allium,1,,1.87,0.03,0.04,
G014,"Ginger, fresh (Zinziber offici",nale),6,,,,,
G015,Mango ginger (Curcuma am,ada),3,,,,,
G016,Mint leaves (Mentha spicata,),4,,,,,
G017,"Onion, big (Allium cepa)",,6,7.24±0.73,0.08±0.01,,,
G018,"Onion, small (Allium cepa)",,5,5.73±0.46,0.03±0.01,,,
G,CONDIMENTS AND,SPICES-DRY,,,,,,
G019,Asafoetida (Ferula assa-foet,ida),6,,,,,
G020,"Cardamom, green (Elettaria",cardamomum),6,1.52±0.19,,,,0.88±0.05
G021,"Cardamom, black (Elettaria",cardamomum),4,1.92±0.07,,,,2.50±0.25
G022,"Chillies, red (Capsicum ann",um),6,,,,,
G023,Cloves (Syzygium aromaticu,m),6,,,,,
G024,Coriander seeds (Coriandru,m sativum),6,,,,,
