Ta,,,,,,,,
ble,,,,(-)- Epigallo s (-)- Epigallo,,(-),(-),Total
10.,ed,,,noi catechin catechin,(+)-Catechin,Gallocatechin,Gallo Syringic acid Sinapinic acid Ellagic acid,polyphenols
Pol,oc,Food Name,,geR 3-gallate,,gallate,catechin,
yph,doo,,,fo,,,mg,
en,F,,,.o,,,,
ol,,,,N,,,,
s,,,,EPICATEGC,,,,
,,,,,,,,
,G006,"Chillies, green-6 (Capsicum",annum),1,,,,54.38
,,,,,,,,
,G007,"Chillies, green-7 (Capsicum",annum),1,,,,53.20
,,,,,,,,
,G008,"Chillies, green - all varietie",s (Capsicum,6,,,,55.66±4.56
,,annum),,,,,,
,,,,,,,,
,G009,Coriander leaves (Coriandru,m sativum),6,,,,60.28±3.95
,,,,,,,,
,G010,Curry leaves (Murraya koeni,gii),6,,,,153±1.2
,,,,,,,,
,G011,"Garlic, big clove (Allium sati",vum),6,,,,95.26±4.55
,,,,,,,,
,G012,"Garlic, small clove (Allium s",ativum),3,,,,96.42±7.01
,,,,,,,,
,G013,"Garlic, single clove, Kashm",ir (Allium,1,,,,99.22
,,sativum),,,,,,
,,,,,,,,
,G014,"Ginger, fresh (Zinziber offici",nale),6,,,,225±8.1
390,,,,,,,,
,G015,Mango ginger (Curcuma am,ada),3,,,,23.61±1.60
,,,,,,,,
,G016,Mint leaves (Mentha spicata,),4,,,,79.99±9.66
,,,,,,,,
,G017,"Onion, big (Allium cepa)",,6,,,,35.12±3.56
,,,,,,,,
,G018,"Onion, small (Allium cepa)",,5,,,,18.91±3.97
,,,,,,,,
,G,CONDIMENTS AND,SPICES-DRY,,,,,
,,,,,,,,
,G019,Asafoetida (Ferula assa-foet,ida),6,,,0.56±0.09,45.23±2.90
,,,,,,,,
,G020,"Cardamom, green (Elettaria",cardamomum),6,0.79±0.03,,,117±1.7
,,,,,,,,
,G021,"Cardamom, black (Elettaria",cardamomum),4,1.72±0.26,,,134±6.9
,,,,,,,,
,G022,"Chillies, red (Capsicum ann",um),6,,,,211±5.7
,,,,,,,,
,G023,Cloves (Syzygium aromaticu,m),6,,,2.03±0.53,2546±4.8
,,,,,,,,
,G024,Coriander seeds (Coriandru,m sativum),6,,,,79.69±2.44
,,,,,,,,
,G025,Cumin seeds (Cuminum cym,inum),6,,,,165±4.4
