Table,,,,s,,,Apigenin-7-,,,,Quercetin-3-,Quercetin-3-
10. Po,edoc,,,noige,Chlorogenic F acid,Apigenin-6- erulic acid Apigenin C-gluoside,O- neohesperid oside,Luteolin,Kaempferol,Quercetin,β-D- glucoside,O- rutinoside
lyph,doo,,Food Name,R fo,,,m,g,,,,
en,F,,,.o,,,,,,,,
ol,,,,N,,,,,,,,
s,,,,,CHLRAC,FERAC APIGEN,,LUTEOL,KAEMF,QUERCE,,
,,,,,,,,,,,,
,G026,Fenugreek s,eeds (Trigonella foenum,6,1.44±0.19,1.73±0.51,,,,,,2.67±0.28
,,graecum),,,,,,,,,,
,,,,,,,,,,,,
,G027,Mace (Myrist,ica fragrans),6,,,,,,,,
,,,,,,,,,,,,
,G028,Nutmeg (Myr,istica fragrans),6,,,,4.96±0.39,,2.83±0.40,,4.19±0.63
,,,,,,,,,,,,
,G029,Omum (Trac,hyspermum ammi),6,48.23±4.77,,,,,0.05±0.01,,3.01±0.34
,,,,,,,,,,,,
,G030,Pippali (Pipe,r longum),6,,,,,,,,32.83±1.78
,,,,,,,,,,,,
,G031,"Pepper, blac",k (Piper nigrum),6,2.96±0.56,,,,,,,
,,,,,,,,,,,,
,G032,Poppy seeds,(Papaver somniferum),6,,,,,,0.04±0.01,,0.73±0.08
,,,,,,,,,,,,
,G033,Turmeric po,wder (Curcuma domestica),6,,,,,,2.85±0.79,,
,,,,,,,,,,,,
392,,,,,,,,,,,,
,H,NUTS AN,D OIL SEEDS,,,,,,,,,
,,,,,,,,,,,,
,H001,Almond (Pru,nus amygdalus),6,,,,,3.61±0.26,,0.08±0.01,0.64±0.04
,,,,,,,,,,,,
,H002,"Arecanut, dr","ied, brown (Areca catechu)",6,,,,,,,,0.49±0.23
,,,,,,,,,,,,
,H003,"Arecanut, dr","ied, red color (Areca catechu)",3,,,,,,,,0.97±0.65
,,,,,,,,,,,,
,H004,"Arecanut, fre",sh (Areca catechu),2,,,,,,,,0.46
,,,,,,,,,,,,
,H005,Cashew nut,(Anacardium occidentale),6,,,,,,0.03±0.01,,
,,,,,,,,,,,,
,H006,"Coconut, ke","rnal, dry (Cocos nucifera)",6,2.94±0.60,0.03±0.01,,,,,1.14±0.06,
,,,,,,,,,,,,
,H007,"Coconut, ke","rnel, fresh (Cocos nucifera)",6,0.45±0.06,0.02±0.01,,,,,0.59±0.12,
,,,,,,,,,,,,
,H008,Garden cres,"s, seeds (Lepidium sativum)",5,0.65±0.14,0.05±0.02,,,1.21±0.38,,,
,,,,,,,,,,,,
,H009,Gingelly see,"ds, black (Sesamum indicum)",6,0.06±0.01,0.14±0.01,,,,,,
,,,,,,,,,,,,
,H010,Gingelly see,"ds, brown (Sesamum",4,0.23±0.03,0.08±0.01,,,,,,
,,indicum),,,,,,,,,,
,,,,,,,,,,,,
,H011,Gingelly see,"ds, white (Sesamum indicum)",5,0.07±0.01,0.13±0.02,,,,,,
