Ta,,,,,,,,,
ble,,,,(-) s (-)- Epigallo,- Epigallo,,(-),(-),Total
10.,ed,,,noi catechin,catechin,(+)-Catechin,Gallocatechin,Gallo Syringic acid Sinapinic acid Ellagic acid,polyphenols
Pol,oc,,Food Name,geR,3-gallate,,gallate,catechin,
yph,doo,,,fo,,,,mg,
en,F,,,.o,,,,,
ol,,,,N,,,,,
s,,,,EPICATEGC,,,,,
,,,,,,,,,
,G026,Fenugreek s,eeds (Trigonella foenum,6,,,,,94.73±3.32
,,graecum),,,,,,,
,,,,,,,,,
,G027,Mace (Myrist,ica fragrans),6,,,,0.25±0.04 0.43±0.10,782±5.2
,,,,,,,,,
,G028,Nutmeg (Myr,istica fragrans),6,,,,10.97±2.19,645±3.9
,,,,,,,,,
,G029,Omum (Trac,hyspermum ammi),6,,,,,129±5.5
,,,,,,,,,
,G030,Pippali (Pipe,r longum),6,,,,,194±4.0
,,,,,,,,,
,G031,"Pepper, blac",k (Piper nigrum),6,,,,,254±3.9
,,,,,,,,,
,G032,Poppy seeds,(Papaver somniferum),6,,,,,221±5.9
,,,,,,,,,
,G033,Turmeric po,wder (Curcuma domestica),6,,,,,988±6.8
,,,,,,,,,
39,,,,,,,,,
4,,,,,,,,,
,H,NUTS AN,D OIL SEEDS,,,,,,
,,,,,,,,,
,H001,Almond (Pru,nus amygdalus),6,2.52±0.11,1.24±0.25,0.55±0.04,,84.94±1.88
,,,,,,,,,
,H002,"Arecanut, dr","ied, brown (Areca catechu)",6,,8.96±0.69,,,2986±2.5
,,,,,,,,,
,H003,"Arecanut, dr","ied, red color (Areca catechu)",3,,2.10±0.36,,,2770±7.3
,,,,,,,,,
,H004,"Arecanut, fre",sh (Areca catechu),2,,8.70,,,2563
,,,,,,,,,
,H005,Cashew nut,(Anacardium occidentale),6 0.94±0.10,0.42±0.08,1.55±0.35,,,32.86±1.76
,,,,,,,,,
,H006,"Coconut, ke","rnal, dry (Cocos nucifera)",6,,,,,72.17±3.90
,,,,,,,,,
,H007,"Coconut, ke","rnel, fresh (Cocos nucifera)",6,,,,,35.22±3.14
,,,,,,,,,
,H008,Garden cres,"s, seeds (Lepidium sativum)",5,,,,,115±9.1
,,,,,,,,,
,H009,Gingelly see,"ds, black (Sesamum indicum)",6,,,,,153±1.5
,,,,,,,,,
,H010,Gingelly see,"ds, brown (Sesamum",4,,,,,102±1.6
,,indicum),,,,,,,
,,,,,,,,,
,H011,Gingelly see,"ds, white (Sesamum indicum)",5,,,,,23.00±1.29
