edoc dooF,Food Nam,e,snoigeR fo .oN,,Oligosaccharides,,Phytosterols,β-Sitosterol,Phytate To,tal Sapon
,,,,Raffinose,Stachyose Verbascose Ajugose,Campesterol,Stigmasterol,,,
,,,,,g,,mg,,,g
,,,,,,,,,,
,,,,RAFS,STAS VERS,CAMT,STGSTR,,PHYTAC,
A,CEREALS AND,MILLETS,,,,,,,,
A001,"Amaranth seed, black cruentus)",(Amaranthus,1,,,1.75,8.24,61.36,393,1.42
A002,"Amaranth seed, pale b (Amaranthus cruentus)",rown,6,,,1.58±0.15,8.51±0.37,60.15±1.49,341±13.9,1.28±0.21
A003,Bajra (Pennisetum typh,oideum),6,0.08±0.039,0.01±0.004,15.84±1.36,4.97±0.25,75.87±2.25,485±12.1,
A004,Barley (Hordeum vulga,re),6,0.06±0.013,0.01±0.002,6.16±0.03,1.17±0.10,42.83±0.84,386±18.2,
A005,Jowar (Sorghum vulgar,e),6,0.02±0.005,0.01±0.004,21.59±0.72,5.31±0.18,38.27±1.04,549±27.2,
A006,"Maize, dry (Zea mays)",,6,,,12.49±0.24,4.22±0.18,87.70±2.61,646±19.4,
A007,"Maize, tender, local (Z",ea mays),6,,,5.78±0.14,2.91±0.05,43.81±0.99,148±8.1,
A008,"Maize, tender, sweet (",Zea mays),4,,,5.63±0.06,2.63±0.06,41.71±0.52,221±17.1,
A009,Quinoa(Chenopodium,quinoa),1,,,0.91,1.89,46.10,120,
A010,Ragi (Eleusine coracan,a),5,0.02±0.006,,5.67±0.15,2.55±0.03,57.36±1.80,306±6.9,
A011,Rice flakes (Oryza sati,va ),6,,,3.48±0.32,2.15±0.05,21.26±0.88,474±21.1,
A012,Rice puffed (Oryza sati,va ),6,,,2.72±0.07,1.52±0.07,16.61±0.85,115±12.3,
A013,"Rice, raw, brown (Oryz",a sativa ),6,0.08±0.058,,3.22±0.03,1.73±0.04,17.21±0.79,742±14.5,
A014,"Rice, parboiled, milled sativa )",(Oryza,6,0.08±0.016,,2.83±0.06,1.85±0.06,20.68±0.77,274±10.6,
A015,"Rice, raw, milled (Ory",za sativa ),6,,,2.68±0.16,1.75±0.14,21.86±0.71,266±9.6,
A016,Samai (Panicum miliare,),6,0.01±0.000,,10.70±0.23,3.07±0.07,73.44±2.02,265±20.1,0.44±0.04
