edoc dooF,,Food Name,,snoigeR fo .oN,,Oligosacch,arides,,,Phytosterols,β-Sitosterol,Phytate To,tal Sapon
,,,,,Raffinose,Stachyose,Verbascose,Ajugose,Campesterol,Stigmasterol,,,
,,,,,,g,,,,mg,,,g
,,,,,,,,,,,,,
,,,,,RAFS,STAS,VERS,,CAMT,STGSTR,,PHYTAC,
A018,Wheat flour aestivum),", refined (Tritic",um,6,0.35±0.016,,,,3.77±0.12,0.53±0.03,25.63±0.90,123±16.0,
A019,Wheat flour,", atta (Triticum",aestivum),6,0.47±0.100,0.04±0.005,,,6.21±0.20,0.77±0.03,36.60±2.69,632±15.9,
A020,"Wheat, who",le (Triticum aes,tivum),6,0.47±0.171,0.05±0.030,,,9.73±0.15,1.42±0.12,55.25±2.06,638±29.2,
A021,"Wheat, bulg",ur (Triticum ae,stivum),6,0.35±0.062,,,,4.14±0.02,0.75±0.03,25.41±0.18,679±14.9,
A022,"Wheat, sem",olina (Triticum,aestivum),6,0.47±0.194,0.05±0.003,,,10.36±0.26,1.36±0.04,54.28±2.53,549±11.7,
A023,"Wheat, verm aestivum)",icelli (Triticum,,6,,,,,2.80±0.08,0.40±0.02,22.37±0.28,168±14.6,
A024,"Wheat, verm aestivum)","icelli, roasted",(Triticum,6,,,,,3.23±0.02,0.47±0.01,25.58±0.15,165±12.9,
,,,,,,,,,,,,,
B,GRAIN L,EGUMES,,,,,,,,,,,
B001,Bengal gra,"m, dal (Cicer ar",ietinum),6,0.23±0.048,0.61±0.153,,,8.03±0.59,3.61±0.16,90.28±2.92,450±23.2,1.10±0.16
B002,Bengal gra arietinum),"m, whole (Cice",r,6,0.23±0.059,0.58±0.131,,,7.10±0.68,6.26±0.60,85.27±1.44,578±11.2,1.70±0.20
B003,"Black gram,",dal (Phaseolu,s mungo),6,0.03±0.013,0.17±0.053,1.13±0.158,0.06±0.030,3.45±0.33,11.21±0.45,42.37±2.23,579±11.8,1.20±0.05
B004,"Black gram, mungo)",whole (Phase,olus,6,0.02±0.009,0.17±0.054,1.00±0.125,0.04±0.022,3.08±0.11,13.39±0.63,41.57±0.73,679±12.4,1.82±0.15
B005,"Cowpea, br",own (Vigna cat,jang),6,0.14±0.011,1.24±0.075,0.01±0.000,,6.56±0.08,32.19±1.27,62.19±1.80,550±8.7,2.99±0.15
B006,"Cowpea, wh",ite (Vigna catj,ang),1,0.12,1.13,0.01,,6.86,32.64,65.43,573,2.98
B007,"Field bean, vulgaris)",black (Phaseol,us,1,0.12,0.38,0.01,,2.51,42.15,51.63,759,1.63
B008,"Field bean, vulgaris)",brown (Phase,olus,1,0.16,0.31,0.01,,2.80,46.17,51.14,773,1.71
B009,"Field bean, vulgaris)",white (Phaseo,lus,5,0.13±0.015,0.33±0.046,0.01±0.001,,2.47±0.18,43.19±2.38,53.83±1.78,791±15.8,1.75±0.18
