edoc dooF,Food,Name,,snoigeR fo .oN,,Oligosaccharides,,Phytosterols,β-Sitosterol,Phytate To,tal Sapon
,,,,,Raffinose,Stachyose Verbascose Ajugose,Campesterol,Stigmasterol,,,
,,,,,,g,,mg,,,g
,,,,,,,,,,,
,,,,,RAFS,STAS VERS,CAMT,STGSTR,,PHYTAC,
C004,"Amaranth leaves, (Amaranthus gang",red and gr eticus),een mix,4,,,1.06±0.02,2.71±0.14,16.91±1.45,4.89±1.20,
C005,Amaranth spinos (Amaranthus spino,"us, leaves, sus)",green,4,,,0.72±0.01,5.71±0.17,33.33±2.14,7.40±0.68,
C006,Amaranth spinos green mix (Amara,"us, leaves, nthus spino",red and sus),2,,,0.77,5.54,32.38,7.15,
C007,Basella leaves (B,asella alba),,2,,,1.17,2.25,9.91,49.57,0.06
C008,Bathua leaves (Ch,enopodium,album),2,,,0.57,3.01,8.99,18.48,0.63
C009,Beet greens (Beta,vulgaris),,6,,,0.86±0.00,3.21±0.00,15.56±0.00,19.01±2.53,0.43±0.00
C010,"Betel leaves, big ( betle)",kolkata) (P,iper,6,0.01±0.000,,4.09±0.02,3.53±0.05,32.83±0.21,57.98±14.04,0.42±0.03
C011,"Betel leaves, sma",ll (Piper bet,le),4,0.01±0.000,,3.86±0.03,3.39±0.06,31.61±0.36,45.34±13.15,0.40±0.02
C012,Brussels sprouts var. gemmifera),(Brassica o,leracea,1,,,4.01,0.93,38.20,18.32,0.25
C013,"Cabbage, Chines",e (Brassica,rupa),1,,,2.06,0.13,17.27,16.85,
C014,"Cabbage, collard oleracea var. viridi",greens (Br s),assica,1,0.06,,2.55,0.28,16.43,12.08,
C015,"Cabbage, green ( var. capitata f. alb",Brassica ole a),racea,6,,,2.46±0.04,0.27±0.03,16.10±1.16,11.77±0.14,
C016,"Cabbage, violet ( var. capitata f. rub",Brassica ole ra),racea,2,,,2.54,0.25,15.80,12.81,
C017,Cauliflower leave oleracea var. botry,s (Brassica tis),,6,0.04±0.004,,1.96±0.02,0.44±0.03,15.55±0.51,13.60±0.13,
C018,"Colocasia leaves, anti-quorum)",green (Col,ocasia,6,,,3.66±0.12,10.50±0.29,23.67±0.26,14.41±0.42,0.39±0.05
C019,Drumstick leaves,(Moringa ol,eifera),3,0.01±0.010,0.03±0.013,4.27±0.14,2.02±0.03,28.92±1.03,128±9.0,0.48±0.05
C020,Fenugreek leaves graecum),(Trigonella,foenum,5,0.03±0.021,,1.39±0.03,2.37±0.14,28.31±0.78,18.67±0.41,
