edoc dooF,Food N,ame,Oligosaccharides snoigeR Raffinose Stachyose Verbascose Ajugose fo g .oN RAFS STAS VERS,,Phytosterols,β-Sitosterol,Phytate
,,,,Campesterol,Stigmasterol,,
,,,,,mg,,
,,,,,,,
,,,,CAMT,STGSTR,,PHYTAC
D005,"Bitter gourd, jagged short (Momordica ch",", teeth ridges, arantia)",4,0.45±0.02,1.71±0.30,12.26±1.18,14.39±1.16
D006,"Bitter gourd, jagged ridges, elongate (M charantia)",", smooth omordica",1,0.43,1.39,12.24,12.68
D007,"Bottle gourd, elong (Lagenaria vulgaris)","ate, pale green",6,0.22±0.01,0.92±0.06,6.40±0.10,10.64±0.73
D008,"Bottle gourd, round (Lagenaria vulgaris)",", pale green",5,0.21±0.01,1.00±0.06,6.02±0.20,11.83±0.27
D009,"Bottle gourd, elong (Lagenaria vulgaris)","ate, dark green",1,0.25,1.08,6.61,10.86
D010,Brinjal-1 (Solanum m,elongena),1,0.68,1.60,8.44,14.63
D011,Brinjal-2 (Solanum m,elongena),1,0.74,1.96,7.01,15.46
D012,Brinjal-3 (Solanum m,elongena),2,0.78,1.30,7.97,12.79
D013,Brinjal-4 (Solanum m,elongena),4,0.73±0.05,1.52±0.19,7.82±0.26,14.43±1.44
D014,Brinjal-5 (Solanum m,elongena),3,0.69±0.04,1.71±0.23,7.85±0.66,12.55±4.14
D015,Brinjal-6 (Solanum m,elongena),2,0.73,1.83,7.13,9.51
D016,Brinjal-7 (Solanum m,elongena),1,0.76,1.65,8.13,18.39
D017,Brinjal-8(Solanum m,elongena),3,0.72±0.05,1.73±0.09,8.42±0.32,11.29±5.13
D018,Brinjal-9 (Solanum m,elongena),2,0.69,1.51,8.57,11.49
D019,Brinjal-10 (Solanum,melongena),2,0.71,1.78,7.86,15.03
D020,Brinjal-11 (Solanum,melongena),6,0.70±0.05,1.60±0.21,8.24±0.38,13.32±3.27
D021,Brinjal-12 (Solanum,melongena),2,0.68,1.66,8.01,13.41
D022,Brinjal-13(Solanum,melongena),1,0.76,1.80,8.10,7.00
D023,Brinjal-14 (Solanum,melongena),3,0.68±0.02,1.68±0.09,7.83±0.18,15.75±1.44
