edoc dooF,Fo,od Name,snoigeR fo .oN,,Oligosacch,arides,,Phytosterols,β-Sitosterol,Phytate To,tal Sapon
,,,,Raffinose,Stachyose,Verbascose Ajugose,Campesterol,Stigmasterol,,,
,,,,,g,,,mg,,,g
,,,,,,,,,,,
,,,,RAFS,STAS,VERS,CAMT,STGSTR,,PHYTAC,
D045,"Cucumber, ora sativus)","nge, round (Cucumis",2,,,,1.32,0.36,7.33,15.80,
D046,Drumstick (Mo,ringa oleifera),6,,,,3.76±0.13,2.40±0.20,16.61±0.30,85.74±2.67,
D047,"Field beans, te faba)","nder, broad (Vicia",2,0.01,,,0.74,4.59,15.17,4.81,3.00
D048,"Field beans, te faba)","nder, lean (Vicia",6,0.00±0.005,,,0.75±0.03,4.38±0.35,15.07±0.69,5.24±0.34,2.93±0.14
D049,"French beans, vulgaris)",country (Phaseolus,5,,,,0.96±0.02,4.45±0.21,17.35±1.15,6.11±0.27,3.44±0.20
D050,"French beans, vulgaris)",hybrid (Phaseolus,2,,,,0.98,4.09,17.65,7.51,2.90
D051,"Jack fruit, raw heterophyllus)",(Artocarpus,5,,,,2.94±0.04,16.36±1.44,43.10±1.68,68.79±1.14,
D052,"Jack fruit, seed heterophyllus)",", mature (Artocarpus",5,,,,1.59±0.07,3.66±0.18,24.26±0.69,141±13.2,
D053,Knol - Khol (Br,assica oleracea),6,,,,1.57±0.05,0.21±0.01,8.53±0.32,16.16±1.30,
D054,"Kovai, big (Coc",cinia cordifolia),6,,,,2.29±0.13,0.87±0.05,23.62±1.66,9.81±0.42,
D055,"Kovai, small (C",occinia cordifolia),1,,,,2.36,0.93,25.22,8.79,
D056,Ladies finger ( esculentus),Abelmoschus,6,,,,2.80±0.12,3.72±0.25,16.23±0.67,3.63±0.24,
D057,"Mango, green, indica)",raw (Mangifera,6,,,,2.09±0.08,1.62±0.12,27.62±1.32,15.26±0.29,
D058,"Onion, stalk (A",llium cepa),6,,,,1.14±0.02,18.49±0.02,17.32±0.08,61.02±2.54,0.54±0.04
D059,"Papaya, raw (C",arica papaya),6,,,,3.18±0.08,2.40±0.02,9.19±0.09,22.08±1.80,0.43±0.04
D060,Parwar (Trichos,anthes dioica),6,,,,0.12±0.01,0.95±0.02,7.60±0.10,29.19±0.64,0.29±0.03
D061,"Peas, fresh (Pi",sum sativum),6,0.01±0.000,0.05±0.011,0.01±0.000,2.56±0.03,1.54±0.02,42.23±0.80,162±10.8,1.26±0.43
D062,"Plantain, flowe paradisiaca)",r (Musa x,6,,,,6.28±0.25,6.19±0.21,9.59±0.31,2.52±0.23,
D063,"Plantain, green",(Musa x paradisiaca),6,,,,2.25±0.21,1.71±0.07,16.32±0.20,40.44±0.21,
