edoc dooF,Food N,ame,snoigeR fo .oN,Oligosaccharides,,Phytosterols,β-Sitosterol,Phytate To,tal Sapon
,,,,Raffinose Stachyose Verbascose Ajugose,Campesterol,Stigmasterol,,,
,,,,g,,mg,,,g
,,,,,,,,,
,,,,RAFS STAS VERS,CAMT,STGSTR,,PHYTAC,
E005,"Apricot, dried (Prun",us armeniaca),6,0.24±0.039,1.17±0.05,5.18±0.20,7.76±0.18,194±19.5,
E006,"Apricot, processed armeniaca)",(Prunus,3,,1.03±0.03,4.65±0.14,7.20±0.12,112±3.0,
E007,Avocado fruit (Pers,ea americana),1,,12.88,2.58,156,356,
E008,Bael fruit (Aegle ma,rmelos),1,,0.30,0.41,3.39,28.65,
E009,"Banana, ripe, mont paradisiaca)",ham (Musa x,1,,1.18,1.23,10.15,12.49,
E010,"Banana, ripe, poov paradisiaca)",am (Musa x,2,,1.31,1.46,12.10,11.03,
E011,"Banana, ripe, red (M paradisiaca)",usa x,1,,1.22,1.39,12.20,10.06,
E012,"Banana, ripe, robus paradisiaca)",ta (Musa x,6,,0.85±0.03,0.84±0.07,9.66±0.13,13.98±1.75,
E013,Black berry (Rubus,fruticosus),5,,0.80±0.03,0.12±0.01,34.65±1.66,8.97±0.17,
E014,"Cherries, red (Prunu",s cerasus),4,,0.56±0.01,0.07±0.00,17.65±0.18,39.88±0.57,1.60±0.02
E015,"Currants, black (Rib",es nigrum),1,,3.53,1.72,17.88,9.60,1.60
E016,Custard apple (Ann,ona squamosa),1,,0.65,2.19,3.81,15.22,
E017,"Dates, dry, pale bro dactylifera)",wn (Phoenix,6,,1.83±0.08,1.35±0.14,29.78±0.34,134±20.5,
E018,"Dates, dry, dark bro dactylifera)",wn (Phoenix,2,,1.73,1.27,27.24,126,
E019,"Dates, processed ( dactylifera)",Phoenix,2,,1.73,1.22,26.30,106,
E020,Fig (Ficus carica),,6,,0.58±0.00,1.67±0.00,32.31±0.00,48.59±4.55,1.00±0.17
E021,Goosberry (Emblica,officinalis),5,,0.23±0.01,0.23±0.01,11.50±0.27,49.34±3.36,0.40±0.12
E022,"Grapes, seeded, ro vinifera)","und, black (Vitis",4,,0.55±0.02,0.26±0.01,12.34±0.20,1.52±0.22,
E023,"Grapes, seeded, ro vinifera)","und, green (Vitis",5,,0.47±0.01,0.24±0.02,10.29±0.15,1.27±0.11,
E024,"Grapes, seeded, ro vinifera)","und, red (Vitis",5,,0.46±0.07,0.28±0.03,10.66±0.67,1.60±0.19,
