edoc dooF,Food Na,me,Oligosaccharides snoigeR Raffinose Stachyose Verbascose Ajugose fo g .oN RAFS STAS VERS,,Phytosterols,β-Sitosterol,Phytate T,otal Saponi
,,,,Campesterol,Stigmasterol,,,
,,,,,mg,,,g
,,,,,,,,
,,,,CAMT,STGSTR,,PHYTAC,
E044,Manila tamarind (Pit dulce),hecellobium,1,0.29,0.97,16.43,22.55,
E045,"Musk melon, orange melon)",flesh (Cucumis,5,0.15±0.00,0.38±0.01,2.74±0.07,12.18±1.26,
E046,"Musk melon, yellow melon)",flesh (Cucumis,6,0.16±0.00,0.40±0.00,2.89±0.03,11.11±1.25,
E047,"Orange, pulp (Citrus",aurantium),6,,,,,
E048,"Palm fruit, tender (B flabellifer)",orassus,1,,,,2.80,
E049,"Papaya, ripe (Carcia",papaya),6,1.80±0.04,1.12±0.04,4.82±0.14,25.44±1.66,0.49±0.06
E050,Peach (Prunus comm,unis),1,0.50,0.71,14.42,4.55,
E051,Pear (Pyrus sp.),,6,0.64±0.02,0.23±0.02,13.33±0.08,4.83±0.81,0.99±0.05
E052,Phalsa (Grewia asiati,ca),2,2.28,1.48,24.97,43.03,0.63
E053,Pineapple (Ananas,comosus),6,1.38±0.06,0.22±0.02,9.25±0.16,8.59±0.33,1.13±0.11
E054,Plum (Prunus domes,tica),3,0.86±0.10,0.45±0.09,13.63±3.20,3.81±0.32,
E055,"Pomegranate, maro (Punica granatum)",on seeds,6,0.83±0.03,0.34±0.02,20.79±0.46,45.71±2.97,0.44±0.05
E056,Pummelo (Citrus ma,xima),3,34.39±2.85,0.92±0.09,23.70±3.22,20.36±0.51,88.76±4.50
E057,"Raisins, dried, black",(Vitis vinifera),6,1.89±0.04,1.05±0.05,41.10±0.10,20.34±1.86,2.60±0.13
E058,"Raisins, dried, golde",n (Vitis vinifera),6,1.76±0.11,0.93±0.04,38.46±0.69,20.12±1.58,2.74±0.20
E059,Rambutan (Nepheliu,m lappaceum),1,,,,5.65,
E060,Sapota (Achras sapo,ta),6,1.48±0.10,1.48±0.13,72.80±1.95,8.32±0.67,
E061,Soursop (Annona m,uricata),1,4.71,1.12,10.88,2.75,
E062,Star fruit (Averrhoa c,arambola),1,0.96,0.41,41.65,3.80,
