edoc dooF,Food Name,,snoigeR fo .oN,,Oligosacch,arides,,Phytosterols,β-Sitosterol,Phytate To,tal Sapon
,,,,Raffinose,Stachyose,Verbascose Ajugose,Campesterol,Stigmasterol,,,
,,,,,g,,,mg,,,g
,,,,,,,,,,,
,,,,RAFS,STAS,VERS,CAMT,STGSTR,,PHYTAC,
F013,"Sweet potato, brown skin batatas)",(Ipomoes,4,,,,2.18±0.03,0.52±0.01,13.75±0.14,54.02±0.63,1.19±0.04
F014,"Sweet potato, pink skin (Ip batatas)",omoes,3,,,,2.31±0.03,0.57±0.01,13.68±0.28,63.69±3.86,1.56±0.10
F015,Tapioca (Manihot esculenta,),3,0.02±0.006,,,2.13±0.07,0.82±0.05,15.72±0.87,64.42±4.53,
F016,Water Chestnut (Eleochari,s dulcis),1,,,,0.16,0.43,4.55,25.86,
F017,"Yam, elephant (Amorphoph campanulatus)",allus,6,,,,2.66±0.09,3.36±0.08,13.46±0.15,16.23±0.80,
F018,"Yam, ordinary (Amorphoph campanulatus)",allus,4,0.02±0.016,,,2.51±0.10,1.56±0.15,19.00±0.72,20.99±1.37,
F019,"Yam, wild (Dioscorea versi",color),2,,,,2.30,3.03,13.58,24.71,0.46
G,CONDIMENTS AND,SPICES-,FRESH,,,,,,,,
G001,"Chillies, green-1 (Capsicum",annum),5,,,,3.59±0.38,0.85±0.09,15.09±0.49,13.54±0.35,
G002,"Chillies, green-2 (Capsicum",annum),3,,,,3.65±0.19,0.87±0.07,15.07±0.65,13.96±2.21,
G003,"Chillies, green-3 (Capsicum",annum),5,,,,3.73±0.19,0.86±0.09,15.07±0.47,14.56±2.74,
G004,"Chillies, green-4 (Capsicum",annum),3,,,,3.52±0.26,0.86±0.04,14.85±0.46,12.31±1.85,
G005,"Chillies, green-5 (Capsicum",annum),2,,,,3.60±0.43,0.86±0.10,15.09±0.63,12.45±2.55,
G006,"Chillies, green-6 (Capsicum",annum),1,,,,3.54,0.83,15.30,10.39,
G007,"Chillies, green-7 (Capsicum",annum),1,,,,3.81,0.84,15.15,13.29,
G008,"Chillies, green - all varietie (Capsicum annum)",s,6,,,,3.64±0.26,0.86±0.07,15.06±0.49,13.38±2.05,
G009,Coriander leaves (Coriandr sativum),um,6,0.01±0.004,,,0.73±0.03,9.35±0.18,18.49±0.97,38.68±0.55,
G010,Curry leaves (Murraya koen,igii),6,,,,10.47±0.13,0.74±0.03,73.92±1.71,40.99±2.41,0.23±0.02
