edoc dooF,Foo,d Nam,e,snoigeR fo .oN,,Oligosacch,arides,,Phytosterols,β-Sitosterol,Phytate To,tal Sapon
,,,,,Raffinose,Stachyose,Verbascose Ajugose,Campesterol,Stigmasterol,,,
,,,,,,g,,,mg,,,g
,,,,,,,,,,,,
,,,,,RAFS,STAS,VERS,CAMT,STGSTR,,PHYTAC,
G031,"Pepper, black (P",iper ni,grum),6,,,,4.90±0.17,10.16±0.15,64.74±1.05,383±16.0,0.87±0.05
G032,Poppy seeds (P,apaver,somniferum),6,0.46±0.056,,,20.96±0.48,5.52±0.24,146±2.5,1109±3.9,5.53±0.29
G033,Turmeric powde domestica),r (Curc,uma,6,,,,5.19±0.13,7.19±0.14,64.15±2.03,358±17.6,
H,NUTS AND,OIL S,EEDS,,,,,,,,,
H001,Almond (Prunus,amygd,alus),6,0.10±0.025,0.02±0.007,,3.73±0.15,2.81±0.10,184±2.8,964±13.4,9.05±0.58
H002,"Arecanut, dried, catechu)",brown,(Areca,6,,,,5.28±0.11,3.36±0.12,44.73±0.48,474±16.0,
H003,"Arecanut, dried, catechu)",red co,lor (Areca,3,,,,5.37±0.23,3.46±0.11,48.93±0.44,403±9.9,
H004,"Arecanut, fresh",(Areca,catechu),2,,,,5.17,3.39,45.24,414,
H005,Cashew nut (An occidentale),acardiu,m,6,2.62±0.433,0.21±0.047,0.01±0.002,3.64±0.07,0.89±0.04,110±2.5,929±22.9,9.84±0.31
H006,"Coconut, kernal nucifera)",", dry (C",ocos,6,,,,1.75±0.07,4.39±0.30,21.97±0.71,390±20.8,
H007,"Coconut, kernel nucifera)",", fresh",(Cocos,6,,,,1.17±0.06,2.45±0.07,14.59±0.20,136±2.5,
H008,"Garden cress, s sativum)",eeds (L,epidium,5,3.56±0.741,0.91±0.224,,63.85±0.83,7.98±0.09,261±3.3,1037±21.6,3.42±0.25
H009,"Gingelly seeds, indicum)",black (,Sesamum,6,1.00±0.038,0.01±0.001,0.01±0.002,30.80±1.08,14.08±0.64,206±2.3,845±20.7,3.25±0.37
H010,"Gingelly seeds, indicum)",brown,(Sesamum,4,0.86±0.275,0.01±0.003,0.01±0.001,32.34±0.60,14.11±0.22,207±2.0,921±10.4,6.40±0.23
H011,"Gingelly seeds, indicum)",white (,Sesamum,5,0.93±0.332,0.01±0.008,0.02±0.000,34.13±1.23,14.89±0.17,219±1.1,927±38.8,5.64±0.20
H012,Ground nut (Ara,chis hy,pogea),6,0.03±0.020,0.06±0.019,,17.23±0.58,9.46±0.29,124±3.6,582±9.8,3.58±0.36
H013,Mustard seeds (,Brassic,a juncea),6,0.35±0.118,0.56±0.178,,43.10±1.88,7.63±0.15,117±2.3,132±15.3,
H014,Linseeds (Linum,usitati,ssimum),6,3.52±0.359,,,31.48±0.23,7.25±0.03,112±0.2,1859±15.8,2.21±0.29
