Atule mate (Sci.),P029,Bakhai ambli,/Vilayabi ambli (G.),E044
,,,,
Auchumooda (Kan.),C028,Bakla (H.),,"D032, D049"
,,,,
AvaAkulu (Tel.),C026,,,D050
,,Bakulla (N.),,B012
"Aval (Mal., Tam.)",A011,,,
,,"Balalak, dindi",mi (H.),E032
Avalakki (Kan.),A011,,,
,,Bale kayi (Ka,n.),D063
Avalu (Tel.),H013,,,
,,Bale motho (,Kan.),D062
Avar (Mal.),"B007-B009,",,,
,"D047, D048",BaleHannu (K,an.),E009-E012
,,,,
Avarai (Tam.),D032,Bamboo shoo,"t, tender (Common)",D002
,,,,
Avare (Kan.),"B007-B009,",Bambusa vulg,aris (Sci.),D002
,,,,
,"D047, D048","Banana, ripe,",montham (Common),E009
Averrhoa carambola (Sci.),E062,,,
,,"Banana, ripe,",poovam (Common),E010
Avise akulu (Tel.),C001,,,
,,"Banana, ripe,",red (Common),E011
Avise ginzalu (Tel.),H014,,,
,,"Banana, ripe,",robusta (Common),E012
Avithri (H.),G027,,,
,,Banda kovi (,N.),"C015, C016"
Avocado fruit (Common),E007,,,
,,Bandh (Kash.,),"C013, C014"
Awathabi Amunba (M.),G016,,,C015
,,,,
Baabari (N.),G016,bandh gobi (H,".,Kash.)",C016
,,,,
Baajra (A.),A003,Bandha kobi,(O.),C015
,,,,
Baajra (Kash.),A003,Bandha kopee,(O.),C016
,,,,
"Baans (H., P.)",D002,Bangala dum,pa (Tel.),"F006, F007,"
,,,,
Baarli Arisi (Tam.),A004,,,F008
,,Banger chata,(B.),J001-J004
,,,,
Bacchanga (Kon.),E065,,,
,,Bansber anku,r (B.),D002
,,,,
Bacchanga (Kon.),E066,,,
,,Bantala kadal,i (O.),D063
,,,,
Bachhali (Tel.),C007,,,
,,Baragudi (O.),,"B007-B009,"
,,,,
"Badam (A.,B.,G.,H.,Kan.,",H012,,,"D047, D048"
"Kash.,Kh.,M.,Mar.,O.,P.,U.)",,Barakoli (O.),,E068
,,,,
Badam Pappu (Tel.),H001,,,
,,Barbati (B.),,"B005, B006"
,,,,
Badam paruppu (Tam.),H001,,,
,,Barbati beej (,B.),B018-B020
,,,,
Badane (Kan.),D010-D030,,,
,,Barigalu (Tel,.),B018-B020
,,,,
Badarii (S.),E068,,,
,,Barley (Com,"mon,B., Kan.,",A004
Baddi elaychi (P.),G021,"Mal.,Tel.,A.)",,
,,,,
Badha kopi (B.),"C015, C016",Basala cheera,(Mal.),C033
,,,,
Badhika (S.),G019,Basale soppu,(Kan.),C007
,,,,
Badi elaychi (H.),G021,Basella alba (,Sci.),C007
,,,,
Bael fruit (Common),E008,"Basella, leave",s (Common),C007
,,,,
Bafela Chokha (G.),A014,Batabilembu,(B.),E056
,,,,
Bahgaj (A.),D002,"Batani (Kan.,",Tel.),"B017, D061"
,,,,
Baigan (O.),D010-D030,Batapilembu,(O.),E056
,,,,
Baigan (P.),D010-D030,Batata (Mar.),,F006-F008
,,,,
Baigan (U.),D010-D030,Bateka (G.),,F006-F008
,,,,
"Baimbale, Kanile (Kan.)",D002,Bathu sag (P.,),C008
,,,,
"Baimbale, Kanile (Kan.)",D002,Bathua leaves,(Common),C008
,,,,
Baingan (H.),D010-D030,Bathua sag (O,".,H.)",C008
,,,,
Bajara (N.),A003,Baunir (U.),,"B005, B006"
,,,,
"Bajra (Common,B., H., Mar., O., P.,",A003,Bavato (G.),,A010
,,,,
U.),,Bazar-Bhang,(Kash.),"H015, H016"
Bajri (G.),A003,,,
,,Beal (U.),,E067
Bak ful shak (B.),C001,,,
