"Bean scarlet, tender (Common)",D003,Betta nelli (K,an.),,E021
,,,,,
"Beans (Mal.,O.,U.)","D049, D050",Bhains ka dh,ood (H.),,L001
,,,,,
Bedana (B.),E055,"Bhakri (Kan.,",Mar.),,A010
,,,,,
Beef (Common),O025-O035,Bhantaa (N.),,,D010-D030
,,,,,
Beera kaya (Tel.),"D068, D069","Bhatmas (H.,",N.),,"B024, B025"
,,,,,
"Beet (A.,B.,G.,Kan.)",F001,Bhel (P.),,,E008
,,,,,
Beet ni bhaji (G.),C009,"Bhendi (A.,M","ar.,O.,U",.),D056
,,,,,
Beet patta (U.),C009,Bhes nu dhud,h (G.),,L001
,,,,,
"Beet root (Common,Mal., Mar.,",F001,Bhet kiLakdi,"(O.,U.)",,D002
"Tam.,Tel.)",,Bhinda (G.),,,D056
Beet root (Tel.),C009,,,,
,,"Bhindi (H.,P.",),,D056
Beet root cheera (Mal.),C009,,,,
,,Bhindikaa (S,.),,D056
Beet root ka sag (Mar.),C009,,,,
,,Bhiopnitam (,P.),,B016
Beet root keerai (Tam.),C009,,,,
,,Bhol (A.),,,D069
Beet root soppu (Kan.),C009,,,,
,,Bhoochhtra (,Mar.),,J001-J004
"Beet root, leaves (Common)",C009,,,,
,,Bhooni sevia,n (P.),,A024
Beetar sak (A.),C009,,,,
,,Bhoore rajma,h (P.),,B019
Begun (B.),D010-D030,,,,
,,Bhopla chipa,n (Mar.),,C030
Bel (A.),E067,,,,
,,Bhoplimirchi,(Mar.),,"D033, D034"
Belandri (M.),D056,,,,D035
Bele (Kan.),E067,Bhui mug (M,ar.),,H012
,,,,,
Bele Dindu (Kan.),D064,Bhuler march,a (G.),,"D033, D034"
Beli phular guti (A.),H020,,,,D035
,,Bhura choul (,P.),,A013
Bella (Kan.),I001,,,,
,,Bhursanga Pa,tra (O.),,G010
Bellam (Tel.),I001,,,,
,,Bhuru kodu (,G.),,D001
Bellulli (Kan.),"G011, G012,",,,,
,G013,Bhutta (B.),,,"A006, A007"
Bendakaya (Tel.),D056,,,,A008
,,BigaHua cha,wal (P.),,A014
Bende (Kan.),D056,,,,
,,"Bila (B.,H., M",ar.),,E008
"Bengal gram, dal (Common)",B001,,,,
,,Biladi no top,(G.),,J001-J004
"Bengal gram, whole (Common)",B002,,,,
,,Bilaiti pungto,n (M.),,E029
Bengali Palungo ko Saag (N.),C009,,,,
,,BilatiBaigan,(O.),,"D074, D075"
Bengena (A.),D010-D030,,,,D076
Benincasa hispida (Sci.),D001,Biliti Bandha,kopi (B.,),C012
Bennephala/Bennehannu (Kan.),E007,Bilvaon (Gor,akamli),(S.),E067
"Ber (G.,H.,U.)",E068,"Bindi (Kash.,",Kh.),,D056
Beri (P.),E068,Bindu (Kash.,),,"D051, D052"
Berikai (Kan.),E051,,,,E030
,,Birri (O.),,,B004
Berikaya (Tel.),E051,,,,
,,Birri dali (O.,),,B003
Berikkai (Tam.),E051,,,,
,,Biskot (Kh.),,,D038
Berycidae beryx (Sci.),P077,,,,
,,Bita (O.),,,F001
Besar (N.),G033,,,,
,,"Bitter gourd,","jagged,","smooth ridges,",D006
Beta vulgaris (Sci.),"C009, F001",elongate (Co,mmon),,
"Betel, leaves, big, Kolkatta (Common)",C010,"Bitter gourd,","jagged,","teeth ridges,",D004
"Betel, leaves, small (Common)",C011,elongate (Co,mmon),,
Bethe ko saag (N.),C008,"Bitter gourd,","jagged,","teeth ridges, short",D005
,,(Common),,,
Betki (Common),P005,Biulir dal (B.,),,B003
Beto sak (B.),C008,,,,
