Curcuma amada,(Sci.),G015,Dhone (B.),,G024
,,,,,
Curcuma domes,tica (Sci.),G033,Dhone pata (B.),,G009
,,,,,
"Currants, black (",Common),E015,Dhonia dkhar (Kh,.),G009
,,,,,
Curry leaves (C,ommon),G010,Dhoniya (A.),,G024
,,,,,
"Curry Pata (M.,",Kash.),G010,Dhooli masari dal,(P.),B013
,,,,,
Custard apple (C,ommon),E016,Dhoon (Kash.),,H021
,,,,,
Cyamopsis tetra,gonobola (Sci.),D039,Dhua mogu dail (,A.),B010
,,,,,
Cynoglossus are,l (Sci.),P079,Dhudul (B.),,"D077, D07"
,,,,,
Daaddima (S.),,E055,Dhunduli (A.),,"D070, D07"
,,,,,
Daan (Kash.),,E055,,,D072
,,,Dieng sajana (Kh.,),D046
Daaniwal (Kash,.),"G009, G024",,,
,,,Dieng seleri (Kh.),,D037
Dab narikol (A.),,H006,,,
,,,Dilpasand (Kan.),,"D077, D07"
Dab narikolor p,ani (A.),K002,,,
,,,Dimiri (O.),,E020
Daberjal (B.),,K002,,,
,,,Dimoru (A.),,E020
Dach (Kash.),,E022-E027,,,
,,,Dioscorea strydom,iana (Sci.),F018
Dacus carota (S,ci.),"F002, F003",,,
,,,Dioscorea villosa,(Sci.),F019
Dadam (G.),,E055,,,
,,,Dodka (Mar.),,"D068, D06"
Dai iong (Kh.),,B004,,,
,,,Dolicus biflorus (S,ci.),B012
Dai shana (Kh.),,"B001, B021",,,
,,,Donda kaya (Tel.),,"D054, D05"
"Dalia (A.,B.,H.,","O.,P.,U)",A021,,,
,,,Donnmena- sinaka,yi (Kan.),"D033, D03"
Dalim (A.),,E055,,,D035
,,,,,
"Dalimb (Kon.,M",ar.),E055,Doodh (Kash.),,"L001, L002"
,,,,,
Dalimba (O.),,E055,Doodh (Maish) (M,ar.),L001
,,,,,
Dalimbari (Kan.,),E055,Doodh(garu) (B.),,L002
,,,,,
Dampudu biyya,m (Tel.),A013,Doodh(gay) (Mar.,),L002
,,,,,
Danimma pandu,(Tel.),E055,Dosa kaya (Tel.),,"D043, D04"
Danthu (Kan.),,"C002, C003,",,,D045
,,C004,Draakssaa (S.),,E022-E027
Danthu beeja (K,an.),"A001, A002",Draksha (Mar.),,E026
,,,,,
Darbusani (Tam,.),"E065, E066",Draksha (G.),,"E025, E026"
,,,,,
Dasakusa (M.),,D038,"Draksha (Kan.,Ma",r.),E022-E027
,,,,,
Dasyatis pastina,ca (Sci.),P080,Draksha padu (Tel,.),E022-E027
,,,,,
"Dates, dry, dark",brown (Common),E018,Drashi (Kan.),,"E057, E058"
,,,,,
"Dates, dry, pale",brown (Common),E017,Dratchai (Tam.),,E023-E027
,,,,,
"Dates, processed",(Common),E019,Drepane punctata,(Sci.),P081
,,,,,
Dawana (P.),,"E065, E066",Drumstick (Comm,on),D046
,,,,,
Dhana pandada,(G.),G009,"Drumstick, leaves",(Common),C019
,,,,,
Dhane (Mar.),,G024,Duck (Common),,N011
,,,,,
"Dhania (H.,N.,O",".,P.)",G024,Dud masi (Kh.),,L002
,,,,,
Dhania paat (A.),,G009,Dud muid (Kh.),,L001
,,,,,
Dhania Patra (O,.),G009,Dudde (Kon.),,D059
,,,,,
Dhaniya (U.),,G024,Dudha (Mosher) (,B.),L001
,,,,,
Dhaniyalu (Tel.),,G024,Dudhi (G.),,"D007, D00"
Dhanyaka (S.),,G024,,,D009
,,,Dumura (B.),,E020
,,,,,
Dhemase (Mar.),,D073,,,
,,,Dunglina dakkadi,(Onion dakkadi) (G.),D058
,,,,,
Dherosh (B.),,D056,,,
,,,Dungri (nani) (G.),,G018
,,,,,
Dherua (A.),,C031,,,
,,,Durdakandagadda,(Tel.),F018
