Grewia asiatica (Sci.),E052,Kada tal (G.),"H009, H01"
,,,
Ground nut (Common),H012,Kadal bral (Common),P020
,,,
Grunjanam (S.),"F002, F003",Kadala (Mal.),B002
,,,
Gua (O.),"H002, H003,",Kadala parippu (Mal.),B001
,,,
,H004,Kadalaiparuppu (Tam.),B001
Guanra chhuin (O.),D039,,
,,Kadale (Kan.),B002
Guarae-di-faliya (P.),D039,,
,,Kadale bele (Kan.),B001
"Guava, white flesh (Common)",E028,,
,,Kadale kayi (Kan.),H012
"Gud (H.,P.,U.,O.)",I001,,
,,Kadale soppu (Kan.),"C010, C011"
Guinea fowl (Common),N013,,
,,Kadali (Common),P021
Guitar fish (Common),P016,,
,,Kadali bhanda (O.),D062
Guizotia abyssinica (Sci.),"H015, H016",,
,,Kadali manja (O.),D064
Gul (Mar.),I001,,
,,Kadalii (S.),E009-E012
Gummad kaya (Tel.),D065,,
,,"Kaddu (H.,P.,U.)","D065, D06"
Gummadi (Tel.),D066,,
,,Kaddu ka patta (U.),C030
Gummadi akulu (Tel.),C030,,
,,Kadhi patta (P.),G010
Gundhun (B.),G018,,
,,Kadi draksh (G.),E015
Gur (A.),I001,,
,,Kadi draksha (G.),"E022, E027"
Gurdudde (Kon.),"D068, D069",,E057
,,,
Gurellu (Kan.),"H015, H016",Kadi ka patta (U.),G010
,,,
Gurh (B.),I001,Kadi umdo (G.),G010
,,,
Gyathkopi (N.),D053,Kadu (P.),"D007,D009"
,,,
Hare (Common),"O058, O059,",Kaḍugeṃpu (Kan.),E014
,,,
,O060,Kadugu ila (Mal.),C026
Harpadon nehereus (Sci.),P007,,
,,"Kadugu (Mal.,Tam.)",H013
Hilsa (Common),P017,,
,,Kadugu ilai (Tam.),C026
Hypophthalmichthys molitrix (Sci.),P078,,
,,KagajiLimbu (O.),E033
Istiophorus platypterus (Sci.),P041,,
,,Kagji Badam (N.),H001
Jallal (Common),P018,,
,,Kaha (Kash.),"B003, B004"
Jathi vela meen (Common),P019,,
,,Kaippakka (Mal.),"D004, D00"
Ka shriew (Kh.),F004,,D006
,,,
Ka wang jyrngam (Kh.),D041,Kait im (Kh.),D063
,,,
Kaagati (N.),E033,Kait jaji (Kh.),E012
,,,
Kaalaan (Tam.),J001-J004,Kait mon/ ja (Kh.),E010
,,,
Kaali Mirch (U.),G031,Kait saw (Kh.),E011
,,,
Kaarabellam (S.),"D007, J008,",Kait syiem (Kh.),E009
,,,
,J009,Kaith (H.),E067
Kaashiral (Kash.),D077,,
,,Kaitha (O.),E067
Kaashiral (Kash.),D078,,
,,Kajor (Kh.),F003
KabbinaHalu (Kan.),I002,,
,,Kaju (G.),H005
Kabok Mur (M.),A012,,
,,Kaju (H.),H005
Kabuli Chana (N.),B002,,
,,Kaju badam (A.),H005
"Kaccha aam (P.,U.)",D057,,
,,"Kakadi (H.,Mar.)","D043,"
Kaccha kela (U.),D063,,"D044,D045"
,,,
Kaccha tamatar (U.),D074,Kakarakaya (Tel.),"D004, D00"
,,,
Kaccha tamator (P.),D074,,D006
,,Kakdi (G.),"D043, D04"
Kach Aamb (Kash.),D057,,D045
,,,
Kacha Tomato (B.),D074,Kakharu (O.),"D065, D06"
