Kakharu Saga (O.),C021,Kandi pappu (Tel.),B021,
,,,,
Kakro (N.),"D043, D044,",Kando (G.),G017,
,,,,
,D045,Kandulu (Tel.),B022,
Kakudi (O.),"D043, D044,",,,
,D045,Kaneek (Mar.),A019,
,,,,
Kala Jamun (H.),E013,Kangni (P.),A017,
,,,,
Kala kishmish (U.),E015,Kannadi paarai (Common),P025,
,,,,
Kala pravaha (Mar.),E015,Kanta neutia sag (O.),C006,
,,,,
Kala til (H.),"H015, H016",Kanta notay shak (O.),C005,
,,,,
Kalaikose (Tam.),C012,Kanta vado tandaljo (G.),"C005,",C006
,,,,
Kalakkay/ Parungala (Tam.),E032,Kanta-notya (B.),C005,
,,,,
Kalakose (Mal.),C012,Kanta-notya shaak (B.),C006,
,,,,
Kalamaara (Common),P022,Kantemanth (Mar.),"C005,",C006
,,,,
Kalara (O.),"D004, D005,",Kantewali chaulai (P.),"C005,",C006
,D006,Kantewali-notya (H.),"C005,",C006
Kalava (Common),P023,,,
,,,,
,,Kanthal (B.),"D051,","D052,"
Kale rajmah (P.),B018,,E052,
Kali tori (P.),D068,Kanwal kakri (U.),F005,
,,,,
Kali tori (P.),D069,Kaothum (M.),F016,
,,,,
"Kalimirchi (H.,P.)",G031,"Karadi (Mal.,Mar.)",H019,
,,,,
Kalingad (Mar.),"E065, E066",Karakka (Mal.),E032,
,,,,
Kalive (Tel.),E032,Karale (Mar.),"H015,",H016
,,,,
Kalkipan (Mar.),D002,Karamanga (O.),E062,
,,,,
Kallangadi (Kan.),"E065, E066",Karamani (Tam.),"B005,",B006
,,,,
Kalle Puri (Kan.),A012,Karamani Payir (Tam.),"B018,","B019,"
,,,,
"Kallu (Tam.., Tel., Mal.,)",K001,,B020,
,,,,
,,Karamazda (S.),E032,
Kalojam (B.),E013,,,
,,,,
,,Karambal (Mar.),E062,
Kalung siej (Kh.),D002,,,
,,,,
,,Karamda (G.),E032,
Kamad kakdi (G.),F005,,,
,,,,
,,Kardi (H.),H019,
Kamal zahr (P.),F005,,,
,,,,
,,Karekayi (Kan.),E032,
Kamala (O.),E047,,,
,,,,
,,"Karela (G.,H., Kash.,P.,U.)","D004,","D005,"
Kamala padu (Tel.),E047,,D006,
,,,,
KamalaLebu (B.),E047,Karhi-pat (B.),G010,
,,,,
Kamalgatta (H.),F005,Kari menasu (Kan.),G031,
,,,,
Kamalkaakdi (Mar.),F005,Karibevu (Kan.),G010,
,,,,
Kamaraka/ Kapazakshi Hannu (Kan.),E062,Karikku (Mal.),H007,
,,,,
Kambam (Mal.),A003,Karim jeerakam (Mal.),"H015,",H016
,,,,
Kambu (Tam.),A003,Karimeen (Common),P026,
,,,,
Kamphoi (M.),E049,Karimpolam (Mal.),F016,
,,,,
Kamphoi (M.),E055,Karivepaku (Tel.),G010,
,,,,
Kamrakh (U.),E062,"Kariveppilai (Mal.,Tam.)",G010,
,,,,
Kanaka (P.),A020,Karkalo (N.),C018,
,,,,
Kanamayya (Common),P024,Karle (Mar.),"D004,","D005,"
,,,,
KanchaLanka (O.),G001-G007,,D006,
,,Karnagawala (Common),P027,
Kanda (Mar.),"G017, G018",,,
,,Karon Akhabi (M.),"D004,",D005
Kandamula (O.),"F013, F014",,,
,,Karon Akhabi (M.),D006,
Kandan lippili (Kan.),G030,,,
,,Karonda (P.),E032,
Kandha dumpa (Tel.),F017,,,
,,Karonda fruit (Common),E032,
