Karralu (Tel.),A017,Keerai vidai (Tam.),A002
,,,
Karumbin neeru (Mal.),I002,Kel phool (G.),D062
,,,
Karumbu charu (Tam.),I002,Kel phool (Mar.),D062
,,,
Karunai kizhangu (Tam.),"F017,F018",Kel(hara) (Mar.),D063
,,,
Karunthiratcha (Tam.),E015,"Kela (G.,H.,P.,Kash.,U.)","D063, E009"
,,,
Karvand (Mar.),E032,,E012
,,Kela ka phool (U.),D062
Kary patta (N.),G010,,
,,Kela(kanch) (B.),D063
Kasawa soji (U.),F015,,
,,Kelanu thed (G.),D064
Kash bandh gobi (H.),C015,,
,,Kele (Mar.),E009-E012
Kashi bhopla (Mar.),D077,,
,,Kele da tana (P.),D064
Kashi bhopla (Mar.),D078,,
,,"Kele-da-phool (P.,H.)",D062
Kashmiri jalakia (A.),"D033, D034,",,
,D035,Kele-ka-tana (H.),D064
,,,
Kaskol/Purakol (A.),D063,Kelicha khunt (Mar.),D064
,,,
Kasori Methi (Kash.),C020,Kella (P.),E009-E012
,,,
Kasu sak (A.),C018,Kelvaragu (Tam.),A010
,,,
Katahar (N.),"D051, D052",Kera (N.),E009
,,,
Katahar (N.),E030,Kera (N.),E010
,,,
Katcha Aam (H.),D057,Kera (N.),"E011, E012"
,,,
"Katcha pepita (H.,P.)",D059,Kerbau paal (Mal.),L001
,,,
Kath aloo (A.),F018,"Kerela (A.,Kh.)","D004, D005"
,,,
Kathahal (U.),"D051, D052,",,D006
,E030,Kerela rit (Kh.),D005
,,,
Kathai chokha (G.),A013,KerelaHeh (Kh.),D004
,,,
Kathakonda (O.),F015,Keri (G.),E036
,,,
"Kathal (H.,P.)","D051, D052,",Keri (G.),"E038, E041"
,,,
,D030,Kesa bilahi (A.),D074
Kathal ki beej (P.),D051,,
,,,
,,Kesa jalakia (A.),G001-G007
Kathirikkai (Tam.),D010,,
,,,
,,Kesa omita (A.),D059
Kathirikkai (Tam.),D011-D030,,
,,,
,,Kesa tamul (A.),H004
Katsuwonus pelamis (Sci.),P085,,
,,,
,,Kesar kedi (G.),E039
Kattelu (Tam.),H015,,
,,Kesu danthu (Kan.),"D040, D041"
Kattelu (Tam.),H016,,
,,Kew (Kh.),A021
Kattuchena (Mal.),F019,,
,,Khajoora pandu (Tel.),"E017, E018"
Kattuzhunnu (Mal.),B023,,E019
,,,
Kauli (N.),C017,"Khajur (A.,G.,H., Kash., Mar.,P.,U.)","E017, E018"
,,,
Kauli (N.),D036,,E019
,,Khajura (N.),"E017, E018"
Kavath (Mar.),E067,,E019
,,,
Kavu akulu (Tel.),C025,Khajuri (O.),E017
,,,
Kawang iong (Kh.),D040,Khajuri (O.),E018
,,,
Kayirhachakka (Mal.),E053,Khajuri (O.),E019
,,,
Kayrai (Common),P028,Khakaru saga (O.),C030
,,,
Kaza (Kash.),B017,Kham kael (Kash.),D063
,,,
Kazmal/Kamrakh (H.),E062,Khamba alu (O.),F018
,,,
Kdu (P.),D008,Khamen ashinba (M.),"D074, D075"
Keasa aam (A.),D057,,D076
,,Khanchari (B.),C029
,,,
Keda (G.),E012,,
,,Kharamani (P.),E005
,,,
Keerai vidai (Tam.),A001,,
