Kharamani (P.),E006,Kismisiong (Kh.),E057,
,,,,
Kharamuja (B.),"E045, E046",Kite fish (Common),P030,
,,,,
Kharbooja (H.),E045,Kithilai (Kan.),E047,
,,,,
"Kharbooja (H.,Kan., Mar., O.,P.,Tel.)","E045, E046",Klong jrong (Kh.),D009,
,,,,
Kharbuja (N.),"E065, E066",Knol - Khol (Common),D053,
,,,,
Kharbujo (G.),E045,Knol-khol akulu (Tel.),C024,
,,,,
Kharbujo (Pido) (G.),E046,Knol-khol cheera (Mal.),C024,
,,,,
Kharbuuja (S.),"E045, E046",Knol-Khol keerai (Tam.),C024,
,,,,
Kharbuz (U.),"E045, E046","Knol-Khol, leaves (Common)",C024,
,,,,
Kharek (G.),"E017, E018",Knoolkol (Tam.),D053,
,,,,
Kharjoora (Kan.),"E017, E018,",Kobbari (Tel.),H007,
,,,,
,E019,Kobbari neeru (Tel.),K002,
Kharjura (S.),E019,,,
,,Kobi (Mar.),"C015,",C016
Kharjura (B.),E017,,,
,,Kobi mana (M.),C015,
"Kharjura (B.,S.)","E017, E018,",,,
,E019,Kobi maru kabi (M.),"C024,",D053
,,,,
Khas Khas (P.),G032,Kobi na pan (G.),C014,
,,,,
Khasa (S.),G032,Kobithamchetmai (M.),D036,
,,,,
Khasa khasa (Tam.),G032,Kobithamchetmai mana (M.),C017,
,,,,
Khash Khash (U.),G032,Kochu (B.),F004,
,,,,
Khaskhas (Mar.),G032,Kochu pata (B.),C018,
,,,,
Khaskhash (Kash.),G032,Kochur loti (B.),"D040,",D041
,,,,
Khattu (N.),"E005, E006",Koda milagai (Tam.),"D033,","D034,"
,,,,
Khaw boil (Kh.),"A014, A015",,D035,
,,KodiKizhangu (Tam.),F019,
Khaw saw (Kh.),A013,,,
,,Kodippasali (Tam.),C007,
"kheera (H.,U.)","D043, D044,",,,
,D045,Kodo (N.),A010,
,,,,
Kherbuz (Kash.),E045,Kodukkapuli (Tam.),E044,
,,,,
Kherbuz (Kash.),E046,Kohala (Mar.),D001,
,,,,
Kheri (B.),B016,Kohl-rabi (H.),D053,
,,,,
Khesari paruppu (Tam.),B013,Kohlu (G.),"D065,",D066
,,,,
Khira (P.),"D043, D044",Koiyapazham (Tam.),"E028,",E029
,,,,
Khliang syiar (Kh.),C021,Kola (paka) (B.),E010,
,,,,
Khongdrum (M.),"D007, D008,",Kola (paka) (B.),"E009,","E011,"
,D009,,E012,
Khoomani (H.),"E005, E006",Kola jaluk (A.),G031,
,,,,
Khoomba (P.),J001-J004,Kola jamu (A.),E013,
,,,,
Khopra (U.),H006,Kola til (A.),H009,
,,,,
Khubaani (U.),"E005, E006",Kolam na pan (G.),C030,
,,,,
Khus khus (G.),"G030, G032",Kolatha (O.),B012,
,,,,
KiadLieh (Kh.),K001,Koldil (A.),D062,
,,,,
Kihom (M.),E053,Kolinchi pazham (Tam.),E034,
,,,,
Kinek (Kash.),"A020, A021",Kollu (Tam.),B012,
,,,,
Kiriyan (Common),P029,Komla (M.),E047,
,,,,
"Kishmish (A.,B.,H., Kash., Mar.,O.,U.)","E057, E058",Kommu potla (Tel.),D060,
,,,,
"Kismis (A.,M.,N.)","E015,E057,D068",Komola (A.),E047,
,,,,
Kismis (M.),E058,Kondaikadalai (Tam.),B002,
,,,,
Kismis saw (Kh.),E058,Konduri (H.),"D054,",D055
,,,,
Kismisaag (U.),C025,Konidhan (A.),A017,
