Lal jamphad (G.),E029,Lesera mah (A.),D003
,,,
Lal kobi (G.),C016,Lesera mahor guti (A.),"B005, B006"
,,,
Lal marcha (sukha) (G.),G022,Letchu (O.),E035
,,,
Lal mircha (P.),G022,Lethrinus lentjan (Sci.),P019
,,,
Lal mirchi (U.),G022,Lettuce (Common),C025
,,,
Lal paka keda (G.),E011,Lettuce cheera (Mal.),C025
,,,
Lal rajmah (P.),B020,Lettuce ka patta (Mar.),C025
,,,
Lal Shaakh (B.),C003,Lettuce na pan (G.),C025
,,,
Lal tandaljo (G.),C003,Lettuce soppu (Kan.),C025
,,,
Lam Khamen (M.),D010-D030,"Lichi (G.,H.,Kan.,Kash., Mal.,",E035
Lank dal (Mar.),B013,"Mar.,N.,P.,Tam.,Tel.,U.)",
,,"Lichu (A.,B.,M.)",E035
Lanka (bilathi) (B.),"D033, D034,",,
,D035,Lila marcha (G.),"G001-G003,"
Lanka (O.),G022,,G006
,,Lila safarjan (G.),E002
Lanka pappu (Tel.),B013,,
,,Lili Draksha (G.),E023
Laphoi (M.),E009-E012,,
,,Lili kobi (G.),C015
Laphoi Ashangba (M.),D063,,
,,Lili makai (G.),"A007, A008"
"Lasan (G.,P.)","G011, G012,",,
,G013,Lilo vans (G.),D002
Lashoonam (S.),"G011, G012,",Limbu (G.),E033
,G013,Limbu goḍa ( Mar),E034
Lasoon (Mar.),"G011, G012,",,
,G013,"Lime, sweet pulp (Common)",E034
Lasun (N.),"G011, G012,",Limonia acidissima (Sci.),E067
,G013,Linseeds (Common),H014
Lates calcarifer (Sci.),P005,,
,,Linum usitatissimum (Sci.),H014
Latte to saag (N.),"C002, C003,",,
,C004,Litchi (Common),E035
"Lau (B.,O.)","D007, D008,",Litchi chinensis (Sci.),E035
,D009,"Lobia (H.,P.)","B005, B006"
Lauka (N.),"D007, D008,",Lobong (B.),G023
,D009,,
Lavang (G.),G023,Lobotes surinamensis (Sci.),P061
Lavang (H.),G023,"Lobster, brown (Common)",Q003
Lavang (Mar.),G023,"Lobster, king size (Common)",Q004
"Lavanga (Kan.,S.)",G023,Loligo duvaucelii (Sci.),R006
Lavangu (Tel.),G023,Loligo sp. (Sci.),R004
Leela dhana (G.),C028,"Long (A.,M.,P.,U.)",G023
Lehin (S.),E033,Lotus root (Common),F005
Lehsan (H.),"G011, G012,","Lowki (H., U.)","D007, D008"
,G013,,D009
LeibakHawai (M.),H012,Luffa acutangula (Sci.),"D068, D069"
"Lemon, juice (Common)",E033,Lutjanus argentimaculatus (Sci.),P065
Lens culinaris (Sci.),"B013, B014",Lutjanus quinquelineatus (Sci.),P013
"Lentil whole, brown (Common)",B014,Lutjanus rivulatus (Sci.),P024
"Lentil whole, yellowish (Common)",B015,Luwang (N.),G023
"Lentil, dal (Common)",B013,Maa ki daal (P.),B003
Lentinula sp. (Sci.),J003,Maagaa (Common),P033
Lepidium sativum (Sci.),"C021, H008",Maarissa (S.),"C002, C003,"
,,,C004
Leptomelanosoma indicum (Sci.),P022,Maas ko dal (N.),B003
Lepturacanthus savala (Sci.),P047,,
,,Maassa (S.),B003
