Muth (Kash.),"B024, B025",Nela milli han,nu (Kan.),E063,
,,,,,
Muthira (Mal.),B012,Nellikka (Mal,.),E021,
,,,,,
Muttaikose (Tam.),"C015, C016",Nellikkai (Ta,m.),E021,
,,,,,
Muttu gose (Mal.),"C015, C016",Nelumbium n,elumbo (Sci.),F005,
,,,,,
MvinaHannu (Kan.),E037-E042,Nemipterus ja,panicus (Sci.),P069,
,,,,,
Myil meen (Common),P041,Nemipterus m,esoprion (Sci.),P021,
,,,,,
Myristica fragrans (Sci.),"G027, G028",Nemu (A.),,E033,
,,,,,
Mysore paruppu (Tam.),"B014, B015",Nephelium la,ppaceum (Sci.),E059,
,,,,,
Naarangga (S.),E047,Neralai (Kan.,),"E013,",E031
,,,,,
Naarikela (S.),H007,NeraleHannu,(Kan.),E015,
,,,,,
Nader (Kash.),F005,Neredupandu,(Tel.),"E013,",E031
,,,,,
Nadia (O.),H006,Neutia sag (O,.),"C002 ,",C003
Nagapazham (Tam.),"E013, E031",,,C004,
,,Nibu (P.),,E033,
Nagarvelna pan (G.),"C010, C011",,,,
,,"Niger seeds, b",lack (Common),H015,
Najavalppazham (Mal.),E015,,,,
,,"Niger seeds, g",rey (Common),H016,
Nalite saga (O.),"C022, C023",,,,
,,Nilakkadalai (,Mal.),H012,
Nalla bontha (Common),P042,,,,
,,Nilam kedi (G,.),E040,
Nalla Kishmish (Tel.),E015,,,,
,,Nimapandu (,Tel.),E033,
Nani kobi (G.),C012,,,,
,,Nimbhu (H.),,E033,
Naral pani (Mar.),K002,,,,
,,Nobab (M.),,E056,
Narasingha paat (A.),G010,,,,
,,Nohoru (A.),,"G011,","G012,"
Narba (Common),P043,,,G013,
Narel (Mar.),"H006, H007",Nol khol ka p,atta (Mar.),C024,
Naribel (N.),H007,"Nol-kol (G.,M",ar.),D053,
Narikol (A.),H007,Noolkol (Tel,".,Kan.,Mal.)",D053,
Narippayir (Tam.),B016,Notya Shaakh,(B.),"C002,",C004
Nariyad (G.),H007,Nud kait (Kh.,),D064,
Nariyad nu pani (G.),K002,Nugga kayi (,Kan.),D046,
Nariyal (H.),H007,Nuggeyele (K,an.),C019,
"Nariyal (H.,P.)","H006, H007",Numitlei Mar,u (M.),H020,
Nariyal da pani (P.),K002,Nunghawai (,M.),"B024,",B025
Nariyal ka pani (H.),K002,Nungsihidak (,M.),K002,
Nariyel (U.),H007,Nutmeg (Com,mon),G028,
Narjeel (Kash.),H007,Nuvvulu (Tel.,),"H009,","H010,"
Narji pooen (Kash.),K002,,,H011,
,,Nyomb (Kash,.),E033,
Narjil (Kash.),H006,,,,
,,Oalu (Kash.),,"F006,","F007,"
Narkel (B.),"H006, H007",,,F008,
"Nashpati (B.,H., Mar.,O.,P.,U.)",E051,Oat (Kash.),,A018,
Nashpatino (G.),E051,Oat unno lota,ghaun no lot (Kash.),A019,
Naso reticulatus (Sci.),P035,Octopus (Co,mmon),R003,
"Naspati (M.,N.)",E051,Octopus vulga,ris (Sci.),R003,
Naspoti (A.),E051,Okhar (N.),,H021,
Naval pazham (Mal.),"E013, E031",Ol (B.),,F017,
Neembu (U.),E033,Ol kachu (A.),,F017,
Neerulli/Ullipaya (Tel.),G017,Olkopi (B.),,D053,
Nei (Kh.),"H010, H011",Olkopi sag (B,.),C024,
Nei iong (Kh.),H009,Olle (P.),,E021,
