Oma (Kan.),,G029,Pakka aam (U.),E036-E042
,,,,
Omakai (Mal.),,E049,Pakka tamatar (U.),"D075, D07"
,,,,
Omakaya (Mal.),,D059,Pakke tamator (P.),"D075, D07"
,,,,
Ompok bimacul,atus (Sci.),P092,Palaanduh (S.),G017
,,,,
Omum (Commo,"n,Tam.)",G029,Paladai (Tam.),L003
,,,,
Ona Menasinaka,yi (Kan.),G022,"Palak (H.,Kash., M., Mar.,P.,U.)","C007, C03"
,,,,
Onagida draaksh,i (Kan.),E054,Palak ni bhaji (G.),C033
,,,,
"Onion, big (Com",mon),G017,Palakkottai (Tam.),D052
,,,,
"Onion, small (C",ommon),G018,Palakoora (Tel.),C033
,,,,
"Onion, stalk (Co",mmon),D058,Palang sag (O.),C033
,,,,
Onva (Mar.),,G029,Palapazham (Tam.),"D051, E03"
,,,,
Ool kobi (A.),,C024,Paleng (A.),C033
,,,,
Oolkobi (A.),,D053,Pali kora (Common),P046
,,,,
"Orange, pulp (C",ommon),E047,"Palisa (Mal.,Tam.)",E052
,,,,
Oreochromis nil,oticus (Sci.),P083,Palkatti (Mal.),L003
,,,,
Oryza sativa (Sc,i.),A011-A015,"Palm fruit, tender (Common)",E048
,,,,
Ottrai poondu (T,am.),G013,Palong heh (Kh.),C033
,,,,
Oyster (Commo,n),Q006,Palong shak (B.),C033
,,,,
Oyster mushroo,"m, dried (Common)",J004,Pambada (Common),P047
,,,,
Paakku (Tam.),,"H003, H004",Pampara Panasa (Tel.),E056
,,,,
Paalak (P.),,C007,Pampus argenteus (Sci.),P057
,,,,
Paalavirugudu (,Tel.),L003,Pan (B.),"C010, C01"
,,,,
Paalungo ko Saa,g (N.),C033,Pan ka patha (H.),"C010, C01"
,,,,
"Paan (A.,M.)",,"C010, C011,",Pana (O.),"C010, C01"
,,,,
,,F004,Panai nungu (Tam.),E048
Paan ka patta (U,.),"C010, C011",,
,,,,
,,,"Panasa (O.,S.,Tel.)","D051, D05"
Paan Makhok (M,.),"D040, D041",,E030
,,,,
Paan mana (M.),,C018,Pan-da-patta (P.),"C010, C01"
,,,,
Paarai (Commo,n),P044,Pandhara (Mar.),"D007, D00"
,,,,
Paarimal (Kash.),,"D065, D066",,D009
,,,Pandola (G.),"D070, D07"
Paavakkai (Tam,.),"D004, D005,",,D072
,,D006,Pandukopa (Common),P048
Pacchi Kandulu,(Tel.),D067,,
,,,"Paneer (A.,G.,Kh.,P.)",L003
Pacchi Mirapaka,ya (Tel.),G001-G007,,
,,,Pangas (Common),S005
Pachhai milagai,(Tam.),G001-G007,,
,,,Pangasianodon hypophthalmus (Sci.),S005
Pachygrapsus sp,. (Sci.),S007,,
,,,Pani phal (B.),F016
Padavalanga (M,al.),"D070, D071,",,
,,D072,Pani singhara (O.),F016
,,,,
Padayappa (Co,mmon),P045,Pani singora (A.),F016
,,,,
Padma nad (O.),,F005,Panicum sumatrense (Sci.),A016
,,,,
Padval (G.),,D060,Panikakharu (O.),D001
,,,,
Padwal (Mar.),,"D070, D071,",Panjapulle (Mal.),A010
,,,,
,,D072,Pan-ka-Patta (Mar.),"C010, C01"
Paida (O.),,H007,,
,,,Panneer dratchai (Tam.),E022
Paida Pani (O.),,K002,,
,,,Panner (Common),L003
Pak Choi leaves,(Common),C027,,
,,,Papaver somniferum (Sci.),G032
Pak choi na pan,(G.),C027,,
,,,Papaya (Mar.U.),D059
Paka keda (G.),,"E009, E010",,
,,,"Papaya, raw (Common)",D059
Pakeli Kedi (G.),,E037,,
