Phaseolus vulgaris (Sci.),"B007, B008,",Pithecellobium,dulce (Sci.),E044
,,,,
,"B009, B018,",Pitwa (H.),,"C022, C023"
,"B019, B020,",,,
,D047-D050,Pitwa sag (P.),,"C022, C023"
,,,,
Phoenix dactylifera (Sci.),"E017, E018,",Piyaj paat (A.),,D058
,E019,Piyanj (A.),,G017
Phool gobi di patte (P.),C017,,,
,,,,
,,Piyaz kali (B.),,D058
Phoolgobi (Kash.),D036,,,
,,,,
,,"Plantain, flower",(Common),D062
Phoolgobi panwathir (Kash.),C017,,,
,,,,
,,"Plantain, green",(Common),D063
Phopat (Common),P053,,,
,,,,
,,"Plantain, stem (",Common),D064
Phudino (G.),G016,,,
,,,,
,,Platax orbicula,ris (Sci.),P067
"Phul gobi (H.,Mar.,P.,U.)","D036, C017",,,
,,,,
,,Plectorhinchus,schotaf (Sci.),P082
Phul gobi patta (H.),C017,,,
,,,,
,,Pleurotus sp. (S,ci.),J004
Phul gopi pata (B.),C017,,,
,,,,
,,Plum (Commo,n),E054
"Phul kobi (A.,O.)",D036,,,
,,,,
,,Pnamnungu (M,al.),E048
Phul kobir pat (A.),C017,,,
,,,,
,,Podavala (Kan.,),"D070, D071"
Phul kopi (B.),D036,,,D072
Phul kubi (Kh.),D036,Podduthirugidi,Puvvu ginzalu (Tel.),H020
,,,,
Phula Kobi patra (O.),C017,Podina (A.),,G016
,,,,
Phulian (P.),A012,Podum thari (A,.),F005
,,,,
Phuti kakudi (O.),D038,Poha (H.),,A011
,,,,
Piaja (O.),G017,Pohe (Mar.),,A011
,,,,
Piaja sandha (O.),D058,Poi ni bhaji (G.,),C007
,,,,
Piat (Kh.),G017,Poi saaga (O.),,C007
,,,,
Piat rit (Kh.),G018,Poka bilahi (A.,),"D075, D076"
,,,,
Pichiganda (Kash.),D058,Poka kol (A.),,E009-E012
,,,,
Pidaloo (N.),F018,Polynemus pleb,eius (Sci.),P033
,,,,
Pidi Draksha (G.),E058,"Pomegranate, m",aroon seeds (Common),E055
,,,,
Pigeon (Common),N014,"Pomfret, black",(Common),P055
,,,,
Pijuli (O.),E029,"Pomfret, snub n",ose (Common),P056
,,,,
Pijuli(deshi) (O.),E028,"Pomfret, white",(Common),P057
,,,,
Pineapple (Common),E053,PongHawai (M,.),"B005, B006"
,,,,
Pine seed (Common),H017,Ponnaganni (Co,mmon),C029
,,,,
Pingu (Kash.),A005,Ponnaganni che,era (Mal.),C029
,,,,
Pinjalo pinjalo (Sci.),P052,Ponnaganni kee,rai (Tam.),C029
,,,,
Pink perch (Sci.),P063,Ponnaganti koo,ra (Tel.),C029
,,,,
Pinus sp. (Sci.),H017,Pookosu (Tam.,),D036
,,,,
Piper betle (Sci.),"C010, C011",Pookosu keerai,(Tam.),C017
,,,,
Piper longum (Sci.),G030,Poondu (Tam.),,"G011, G012"
,,,,
Piper nigrum (Sci.),G031,Popai (Mar.),,E049
,,,,
Pipli (H.),G030,Poppy seeds (C,ommon),G032
,,,,
Pippali (Common),G030,"Pori (Mal.,Tam",.),A012
,,,,
Pipul (B.),G030,Pork (Common,),O048-O057
,,,,
Piranha (Common),P054,Portunus sangu,inolentus (Sci.),Q002
,,,,
"Pista (A.,G.,H.,Kh., Mal.,Mar.,",H018,Posola (A.),,D064
"N.,O.,P.,Tam.,Tel.,U.)",,Posta (B.),,G032
Pistachio nut (Common),H018,,,
,,,,
,,Postak (O.),,G032
Pistacia vera (Sci.),H018,,,
,,,,
,,Postdana (H.),,G032
Pisum sativum (Sci.),"B017, D061",,,
