Soh balensh,a (Kh.),E034,Sohmynken trykhong (Kh.),G022
,,,,
Soh bel (Kh,.),E008,SohmynkenHeh (Kh.),G001
,,,,
Soh broi he,h (Kh.),E068,Soidon (M.),D002
,,,,
Soh broi rit,(Kh.),E052,Solanum lycopersicum (Sci.),"D074, D075"
Soh dimbur,(Kh.),E020,,D076
,,,Solanum melongena (Sci.),D010-D030
Soh grape io,ng (Kh.),"E022, E025,",,
,,E027,Solanum tuberosum (Sci.),"F006, F007,"
Soh grape jy,rngam (Kh.),"E023, E026",,F008
,,,Sole fish (Common),P079
Soh grape s,aw (Kh.),E024,,
,,,Solenocera crassicornis (Sci.),Q007
Soh jam/So,h jamun (Kh.),E013,,
,,,Songi (P.),"E057, E058"
Soh jew (Kh,.),E033,,
,,,Sooj (Kash.),A022
Soh khajur (,Kh.),"E017, E018",,
,,,Sooran (H.),F018
Soh khajur i,m (Kh.),E019,,
,,,Sopari (G.),"H002, H003"
Soh kismis i,ong (Kh.),E015,,H004
Soh Kymph,or (Kh.),E049,Sorekai (Kan.),"D007, D008"
Soh Kymph,or im (Kh.),D059,,D009
,,,Sorghum vulgare (Sci.),A005
Soh kyntoi (,Kh.),E064,,
,,,Sorguja (A.),"H015, H016"
Soh kyntoi i,m (Kh.),E044,,
,,,Sorisa (O.),H013
Soh manir (,Kh.),E035,,
,,,Sorisa sag (B.),C026
Soh marit (,Kh.),G031,,
,,,Soriyah (A.),H013
Soh myllen,g (Kh.),E021,,
,,,Sorrakaya (Tel.),"D007, D008"
Soh mynken,beb (Kh.),G007,,D009
Soh mynken,dkhar (Kh.),G002-G006,Sorse (B.),H013
Soh niamtra,(Kh.),E047,Soru manimunni (A.),H008
Soh Pai (Kh,.),I002,Sosha (B.),"D043, D044"
Soh phan (K,h.),"D051, E030",,D045
,,,Sougri mana (M.),"C022, C023"
Soh phareng,(Kh.),E050,,
,,,Soursop (Common),E061
Soh phoh (K,h.),E051,,
Soh pieng (,Kh.),E036,Southe kayi (Kan.),"D043, D044"
,,,,D045
Soh pieng (,Kh.),E037-E042,Soya (U.),"B024, B025"
Soh pieng i,m (Kh.),D057,"Soya bean (A.,G.,Kan., Mal.,","B024, B025"
Soh plum d,orris/ Norris (Kh.),E054,"Mar.,O.,Tam.,Tel.)",
Soh pomegr,anate (Kh.),E055,Soya bean dal (P.),"B024, B025"
Soh pyriam,(Kh.),"E028, E029","Soya bean, brown (Common)",B024
Soh pyrshon,g (Kh.),E062,"Soya bean, white (Common)",B025
Soh saw dk,har (Kh.),D075,Sphyraena jello (Sci.),P075
Soh saw jyr,ngam (Kh.),D074,Sphyrna mokarran (Sci.),P073
Soh saw kh,asii (Kh.),D076,Spinach (Common),C033
Soh sherri (,Kh.),E014,Spinacia oleracea (Sci.),C033
Soh trun (K,h.),E053,Spinak soppu (Kan.),C033
Soh waterm,elon (Kh.),"E065, E066",Squash (A.),D038
Sohbaingon,jyrngam (Kh.),D010-D030,"Squid, black (Common)",R004
Sohkhia (K,h.),"D043, D044","Squid, hard shell (Common)",R005
Sohkhia pyl,lon (Kh.),D045,"Squid, red (Common)",R006
Sohmarit kh,law (Kh.),G030,"Squid, white, small (Common)",R007
Sohmynken,jhur jyrngam (Kh.),"D033, D034",Sryakānti bījagalu (Kan.),H020
Sohmynken,jhur stem (Kh.),D035,Star fruit (Common),E062
