Teel (N.),,"H009, H010,",Thunnus albacores (Sci.),P028
,,H011,Thuvarai (Tam.),D067
Telakucha (B.),,"D054, D055",,
,,,Tiger prawns (Common),S010
Tengamora (A.),,"C022, C023",,
,,,"Tiger prawns, brown (Common)",Q007
Tentuli (O.),,"C034, E064",,
,,,"Tiger Prawns, orange (Common)",Q008
Tenualosa ilisha (,Sci.),P017,,
,,,"Til (B.,H.,Kash., Mar.,P.,S.,U.)","H009, H010"
Terapon jarbua (S,ci.),P031,,H011
Teteli (A.),,E064,Tilapia (Common),P083
,,,,
Teteli paat (A.),,C034,Tilhou (M.),"G017, G018"
,,,,
Tetul (B.),,E064,Tilhou Mana (M.),D058
,,,,
Tetul pata (B.),,C034,Tillikaa (S.),"D004, D005"
Thabi (M.),,"D043, D044",,D006
,,,"Tinda (H.,Kash., N.,P.)",D073
Thakkalikkaai (T,am.),D074,,
,,,"Tinda, tender (Common)",D073
Thamala paku (Te,l.),"C010, C011",,
,,,Tinde (U.),D073
Thamara kada (Te,l.),F005,,
,,,Tindli (U.),"D054, D055"
Thamaraithandu (,Tam.),F005,,
,,,Tishi (B.),H014
Thamarathandu (,Mal.),F005,,
,,,Tit budam (Kh.),J001
Thambou (M.),,F005,,
,,,Tit tyndong (Kh.),J002
Thandu keerai (Ta,m.),"C002, C003,",,
,,C004,Tite karela (N.),"D004, D005"
Thangtup (M.),,"E017, E018,",,D006
,,E019,Tiyoh (A.),"D043, D044"
Thannir mathan (,Mal.),"E065, E066",,D045
,,,Toddy (Common),K001
Thati mangu (Kan,.),E048,,
,,,Todhi (P.),K001
Thati munjalu (Te,l.),E048,,
,,,Toh rymbai (Kh.),"B024, B025"
Theibong (M.),,E030,,
,,,Tomato (B.),"D075, D076"
Theibong Maru (,M.),D052,,
,,,"Tomato, green (Common)",D074
Thenga (Mal.),,H006,,
,,,"Tomato, ripe, hybrid (Common)",D075
Thenga neeru (Ka,n.),K002,,
,,,"Tomato, ripe, local (Common)",D076
Thengavellam (M,al.),K002,,
,,,Tomul (Kash.),A012-A015
Thengina kayi (K,an.),H007,,
,,,Tondale (Mar.),"D054, D055"
Thengini kai (Kan,.),H006,,
,,,,"D054, D055"
Thenkai (Tam.),,H007,,
,,,Tondekayi (Kan.),
Thenus orientalis,(Sci.),Q003,Tondool (Mar.),A015
Thenus orientalis,(Sci.),Q004,,
,,,Torai (H.),"D068, D069"
Thiedlotus (Kh.),,F005,,
,,,Torbot (M.),D001
Thina (Mal.),,A017,,
,,,Tormuj (A.),"E065, E066"
Thinai (Tam.),,A017,,
,,,Totapuri kedi (G.),E042
Thoiding (M.),,H010,,
,,,Trachinotus blochii (Sci.),P056
Thoiding Amuba,(M.),H009,,
,,,Trachyspermum ammi (Sci.),G029
Thoiding angouba,(M.),H011,,
,,,Trichosanthes anguina (Sci.),"D070, D071"
Tholam (Common,),P082,,D072
Thondekkai (Kan.,),D073,Trichosanthes dioica (Sci.),D060
Thoolhaymbe (Ka,sh.),D032,Trigonella foenum graecum (Sci.),"G026, C020"
Thor (B.),,D064,Triputta (S.),B013
Thotakoora (Tel.),,"C002, C003,",Triticum aestivum (Sci.),A018-A024
,,C004,Tser (Kash.),"E005, E006"
Thotakoora ginjal,u (Tel.),"A001, A002",,
,,,Tsoonth (Kash.),E001-E004
Thugare bele (Ka,n.),B018-B021,,
