TukhmHummaz (U.),C032,Ulli thandu (Mal.),,D058
,,,,
Tuna (Common),P084,Ulundhu (Tam.),,B004
,,,,
"Tuna, striped (Common)",P085,Ulutham paruppu,(Tam.),B003
,,,,
Turai (U.),"D068, D069",Uluva (Mal.),,G026
,,,,
Turdal (Mar.),"B021, B022",Uluva ila (Mal.),,C020
,,,,
Turia (G.),"D068, D069",Um snepkor (Kh.),,K002
,,,,
Turkey (Common),N016-N019,Undamulagu (Mal,.),"D033, D034"
Turmeric powder (Common),G033,,,D035
,,Unnipindi (Mal.),,D064
Turrel (Kash.),"D068, D069",,,
,,Uppudu biyyam (,Tel.),A014
Tuvar (U.),B022,,,
,,Uppumavu (Mal.),,A022
Tuvar ki dal (U.),B021,,,
,,Urahi (A.),,D032
Tuvarai (Tam.),B022,,,
,,Urd dal (H.),,B003
Tuvaramparuppu (Tam.),B021,,,
,,Urohi (A.),,"D047, D048"
Tuvaru parippu (Mal.),"B021, B022",,,
,,Urohi guti (A.),,"B007, B008"
Tuver (G.),B022,,,B009
Tuver ni daad (G.),B021,Uroteuthis duvauc,eli (Sci.),R007
Tylosurus crocodilus crocodilus (Sci.),P040,Urula kizhangu (M,al.),"F006, F007,"
Tympew (Kh.),C011,,,F008
,,Urulaikizhangu (T,am.),"F006, F007,"
Tympew Dkhar (Kh.),C010,,,F008
Tyrso (Kh.),C026,Usacha rasa (Mar.,),I002
U bit (Kh.),F001,Ushtahak (Kash.),,C008
U buri (Kh.),D003,Usirikaya (Tel.),,E021
U dai jyrngam (Kh.),B011,Usna chawal (H.),,A014
U dai saw (Kh.),"B013, B015",Usuna chaula (O.),,A014
U dai stem (Kh.),B010,Uyen (M.),,J003
U hing (Kh.),G019,Uzhunnu parippu,(Mal.),B003
U jeera (Kh.),G025,Uzhunu (Mal.),,B004
U kajor (Kh.),F002,Vadhvani marcha,(G.),G005
U klong (Kh.),D007,Vakka (Tel.),,"H002,H003,"
U klong heh (Kh.),D008,,,H004
,,Valasulu (Tel.),,"H015, H016"
U long (Kh.),G023,,,
,,Valava (Common,),P086
U manghra (M.),F015,,,
,,Vallicheera (Mal.),,C007
U phan (Kh.),F006,,,
Uchhe (B.),D005,Valpapdi (G.),,"B007, B008"
,,,,"B009, D047"
Uddachi dal (Mar.),"B003, B004",,,D048
Uddhina bele (Kan.),"B003, B004",Vamu (Tel.),,G029
Uemma halu (Kan.),L001,Vange (Mar.),,D010-D030
Ukadla tandool (Mar.),A014,Vanjaram (Comm,on),P087
Ukew (Kh.),A020,Vaṅkaya (Tel.),,D010-D030
Ukhua chaul (A.),A014,Varagu (Common,),A017
Ukrai (Kh.),A010,Varamilagai (Tam,.),G022
Ular dhirachai (Tam.),"E057, E058",Vatam kottai (Ma,l.),H001
Ulavalu (Tel.),B012,"Vatana (G., Mar)",,D061
Ulgobi saga (O.),C024,Vattu parippu (Ma,l.),B013
Ulkobi (O.),D053,Vazha pazham (M,"al.,Tam.)","E009, E010,"
Ulli (Mal.),G017,,,"E011, E012"
,,Vazhai thandu (T,am.),D064
Ulli kadalu (Tel.),D058,,,
